dt,uV
6576.9897,1.034
6576.9946,1.029
6577.0,1.0200001
6577.005,1.011
6577.01,1.003
6577.0146,0.9990001
6577.02,0.99700004
6577.025,0.99200004
6577.03,0.98300004
6577.0347,0.975
6577.04,0.975
6577.045,0.97900003
6577.05,0.98100007
6577.0547,0.97700006
6577.06,0.9710001
6577.065,0.966
6577.07,0.96800005
6577.0747,0.99600005
6577.08,1.0890001
6577.085,1.245
6577.09,1.3870001
6577.0947,1.3850001
6577.0996,1.1800001
6577.105,0.86600006
6577.11,0.629
6577.1147,0.591
6577.1196,0.711
6577.125,0.85600007
6577.13,0.93500006
6577.135,0.95300007
6577.1396,0.96000004
6577.145,0.97400004
6577.15,0.98200005
6577.155,0.9760001
6577.1597,0.9710001
6577.165,0.97800004
6577.17,0.989
6577.175,0.99200004
6577.1797,0.989
6577.185,0.99000007
6577.19,0.998
6577.195,1.0040001
6577.1997,1.0040001
6577.205,1.0020001
6577.21,1.0020001
6577.215,1.0070001
6577.2197,1.014
6577.2246,1.0220001
6577.23,1.0320001
6577.235,1.042
6577.2397,1.049
6577.2446,1.0530001
6577.25,1.056
6577.255,1.064
6577.26,1.0780001
6577.2646,1.095
6577.27,1.11
6577.275,1.121
6577.28,1.133
6577.2847,1.1470001
6577.29,1.1620001
6577.295,1.172
6577.3,1.1780001
6577.3047,1.184
6577.31,1.1910001
6577.315,1.199
6577.32,1.2030001
6577.3247,1.2030001
6577.33,1.2
6577.335,1.192
6577.34,1.176
6577.3447,1.1550001
6577.3496,1.133
6577.355,1.1140001
6577.36,1.0960001
6577.3647,1.077
6577.3696,1.0630001
6577.375,1.057
6577.38,1.057
6577.385,1.0550001
6577.3896,1.0500001
6577.395,1.046
6577.4,1.0450001
6577.405,1.0450001
6577.4097,1.042
6577.415,1.036
6577.42,1.033
6577.425,1.0370001
6577.4297,1.044
6577.435,1.049
6577.44,1.0480001
6577.445,1.0430001
6577.4497,1.0380001
6577.455,1.0370001
6577.46,1.041
6577.465,1.0480001
6577.4697,1.0530001
6577.4746,1.054
6577.48,1.052
6577.485,1.051
6577.4897,1.054
6577.4946,1.057
6577.5,1.0580001
6577.505,1.056
6577.51,1.052
6577.5146,1.0500001
6577.52,1.0500001
6577.525,1.052
6577.53,1.057
6577.5347,1.064
6577.54,1.074
6577.545,1.082
