dt,uV
2224.99,-6.4210005
2224.9949,-6.4220004
2225.0,-6.405
2225.005,-6.3760004
2225.01,-6.3580003
2225.015,-6.353
2225.02,-6.341
2225.025,-6.32
2225.03,-6.3040004
2225.035,-6.3
2225.04,-6.301
2225.045,-6.295
2225.05,-6.2850003
2225.055,-6.281
2225.06,-6.2860003
2225.065,-6.2920003
2225.07,-6.2920003
2225.075,-6.2860003
2225.0798,-6.28
2225.085,-6.2760005
2225.0898,-6.2760005
2225.095,-6.2760005
2225.0999,-6.2770004
2225.105,-6.2760005
2225.1099,-6.2770004
2225.115,-6.2760005
2225.1199,-6.274
2225.125,-6.2700005
2225.13,-6.2660003
2225.135,-6.2630005
2225.14,-6.255
2225.145,-6.2450004
2225.15,-6.236
2225.155,-6.2380004
2225.16,-6.2440004
2225.165,-6.247
2225.17,-6.2430005
2225.175,-6.2450004
2225.18,-6.2590003
2225.185,-6.2770004
2225.19,-6.282
2225.195,-6.2690005
2225.2,-6.2510004
2225.2048,-6.2440004
2225.21,-6.247
2225.2148,-6.2460003
2225.22,-6.2380004
2225.2249,-6.2300005
2225.23,-6.2310004
2225.2349,-6.236
2225.24,-6.2400002
2225.2449,-6.2390003
2225.25,-6.2400002
2225.255,-6.2450004
2225.26,-6.249
2225.265,-6.2510004
2225.27,-6.2530003
2225.275,-6.2570004
2225.28,-6.2630005
2225.285,-6.2700005
2225.29,-6.274
2225.295,-6.2700005
2225.3,-6.255
2225.305,-6.247
2225.31,-6.2640004
2225.315,-6.3030005
2225.32,-6.321
2225.325,-6.2840004
2225.3298,-6.1910005
2225.335,-6.065
2225.3398,-5.912
2225.345,-5.7300005
2225.3499,-5.5610003
2225.355,-5.505
2225.3599,-5.6390004
2225.365,-5.9140005
2225.3699,-6.1720004
2225.375,-6.2830005
2225.38,-6.254
2225.385,-6.189
2225.39,-6.1730003
2225.395,-6.1970005
2225.4,-6.216
2225.405,-6.208
2225.41,-6.1910005
2225.415,-6.182
2225.42,-6.182
2225.425,-6.1860003
2225.43,-6.1930003
2225.435,-6.1990004
2225.44,-6.2000003
2225.445,-6.1940002
2225.45,-6.189
2225.4548,-6.1930003
2225.46,-6.201
2225.4648,-6.2060003
2225.47,-6.202
2225.4749,-6.1930003
2225.48,-6.183
2225.4849,-6.183
2225.49,-6.1940002
2225.4949,-6.2060003
2225.5,-6.2050004
2225.505,-6.19
2225.51,-6.1860003
2225.515,-6.221
2225.52,-6.287
2225.525,-6.3310003
2225.53,-6.3030005
2225.535,-6.2000003
2225.54,-6.0800004
2225.545,-6.005
2225.55,-5.9960003
2225.555,-6.012
2225.56,-5.999
2225.565,-5.9280005
2225.57,-5.8180003
2225.575,-5.714
2225.5798,-5.6530004
2225.585,-5.6390004
2225.5898,-5.6520004
2225.595,-5.6660004
2225.5999,-5.6720004
2225.605,-5.6780005
2225.6099,-5.6990004
2225.615,-5.7400002
2225.6199,-5.7900004
2225.625,-5.8290005
2225.63,-5.847
2225.635,-5.8500004
2225.64,-5.8500004
2225.645,-5.854
2225.65,-5.8580003
2225.655,-5.8640003
2225.66,-5.8770003
2225.665,-5.893
2225.67,-5.8970003
2225.675,-5.8880005
2225.68,-5.8890004
2225.685,-5.926
2225.69,-5.9900002
2225.695,-6.038
2225.7,-6.0400004
2225.7048,-6.0150003
2225.71,-5.9960003
2225.7148,-5.971
2225.72,-5.892
2225.7249,-5.7520003
2225.73,-5.622
2225.7349,-5.5690002
2225.74,-5.5730004
2225.7449,-5.5420003
2225.75,-5.447
2225.755,-5.3750005
2225.76,-5.4230003
2225.765,-5.558
2225.77,-5.657
2225.775,-5.675
2225.78,-5.7180004
2225.785,-5.879
2225.79,-6.058
2225.795,-6.057
2225.8,-5.8420005
2225.805,-5.6280003
2225.81,-5.6060004
2225.815,-5.6720004
2225.82,-5.517
2225.825,-5.011
2225.8298,-4.386
2225.835,-3.989
2225.8398,-3.923
2225.845,-3.992
2225.8499,-3.979
2225.855,-3.854
2225.8599,-3.7310002
2225.865,-3.676
2225.8699,-3.6440003
2225.875,-3.5240002
2225.88,-3.2210002
2225.885,-2.69
2225.89,-1.9950001
2225.895,-1.319
2225.9,-0.864
2225.905,-0.688
2225.91,-0.66200006
2225.915,-0.605
2225.92,-0.46600002
2225.925,-0.33800003
2225.93,-0.317
2225.935,-0.38700002
2225.94,-0.45600003
2225.945,-0.47200003
2225.95,-0.462
2225.9548,-0.46800002
2225.96,-0.453
2225.9648,-0.33100003
2225.97,-0.075
2225.9749,0.215
2225.98,0.407
2225.9849,0.47100002
2225.99,0.50200003
2225.9949,0.596
2226.0,0.731
2226.005,0.814
2226.01,0.79700005
2226.015,0.72400004
2226.02,0.651
2226.025,0.592
2226.03,0.554
2226.035,0.596
2226.04,0.762
2226.045,1.0020001
2226.05,1.1810001
2226.055,1.2110001
2226.06,1.1340001
2226.065,1.0550001
2226.07,1.028
2226.075,1.031
2226.0798,1.031
2226.085,1.028
2226.0898,1.0400001
2226.095,1.059
2226.0999,1.072
2226.105,1.075
2226.1099,1.0830001
2226.115,1.0940001
2226.1199,1.095
2226.125,1.0780001
2226.13,1.0550001
2226.135,1.041
2226.14,1.0300001
2226.145,1.008
2226.15,0.97300005
2226.155,0.94100004
2226.16,0.92200005
2226.165,0.91400003
2226.17,0.91400003
2226.175,0.92700005
2226.18,0.94200003
2226.185,0.93200004
2226.19,0.87500006
2226.195,0.78900003
2226.2,0.71000004
2226.2048,0.637
2226.21,0.541
2226.2148,0.42900002
2226.22,0.36600003
2226.2249,0.379
2226.23,0.386
2226.2349,0.264
2226.24,0.019000001
2226.2449,-0.194
2226.25,-0.23500001
2226.255,-0.143
2226.26,-0.067
2226.265,-0.071
2226.27,-0.07700001
2226.275,-0.006
2226.28,0.105000004
2226.285,0.162
2226.29,0.15
2226.295,0.126
2226.3,0.12200001
2226.305,0.10300001
2226.31,0.059000004
2226.315,0.049000002
2226.32,0.134
2226.325,0.29900002
2226.3298,0.483
2226.335,0.65300006
2226.3398,0.794
2226.345,0.836
2226.3499,0.683
2226.355,0.342
2226.3599,-0.025
2226.365,-0.24100001
2226.3699,-0.284
2226.375,-0.28
2226.38,-0.33400002
2226.385,-0.409
2226.39,-0.41300002
2226.395,-0.335
2226.4,-0.26000002
2226.405,-0.24700001
2226.41,-0.26700002
2226.415,-0.261
2226.42,-0.22600001
2226.425,-0.208
2226.43,-0.23
2226.435,-0.261
2226.44,-0.264
2226.445,-0.24300002
2226.45,-0.22000001
2226.4548,-0.19900002
2226.46,-0.16100001
2226.4648,-0.106000006
2226.47,-0.057000004
2226.4749,-0.036000002
2226.48,-0.035
2226.4849,-0.039
2226.49,-0.041
2226.4949,-0.040000003
2226.5,-0.033
2226.505,-0.010000001
2226.51,0.022000002
2226.515,0.048
2226.52,0.059000004
2226.525,0.068
2226.53,0.089
2226.535,0.12100001
2226.54,0.15
2226.545,0.16700001
2226.55,0.18100001
2226.555,0.19800001
2226.56,0.21800001
2226.565,0.23700002
2226.57,0.252
2226.575,0.266
2226.5798,0.273
2226.585,0.266
2226.5898,0.24100001
2226.595,0.20400001
2226.5999,0.16700001
2226.605,0.135
2226.6099,0.10700001
2226.615,0.081
2226.6199,0.055000003
2226.625,0.030000001
2226.63,0.006
2226.635,-0.017
2226.64,-0.037
2226.645,-0.051000003
2226.65,-0.061000004
2226.655,-0.069000006
2226.66,-0.078
2226.665,-0.089
2226.67,-0.09900001
2226.675,-0.105000004
2226.68,-0.11100001
2226.685,-0.11800001
2226.69,-0.13100001
2226.695,-0.147
2226.7,-0.165
2226.7048,-0.177
2226.71,-0.18100001
2226.7148,-0.179
2226.72,-0.17600001
2226.7249,-0.178
2226.73,-0.187
2226.7349,-0.19700001
2226.74,-0.20300001
2226.7449,-0.20700002
2226.75,-0.21200001
2226.755,-0.22000001
2226.76,-0.22500001
2226.765,-0.22200002
2226.77,-0.21300001
2226.775,-0.208
2226.78,-0.21100001
2226.785,-0.21900001
2226.79,-0.22100002
2226.795,-0.21300001
2226.8,-0.201
2226.805,-0.187
2226.81,-0.172
2226.815,-0.15300001
2226.82,-0.132
2226.825,-0.115
2226.8298,-0.102000006
2226.835,-0.089
2226.8398,-0.074
2226.845,-0.060000002
2226.8499,-0.054
2226.855,-0.056
2226.8599,-0.062000003
2226.865,-0.067
2226.8699,-0.074
2226.875,-0.083000004
2226.88,-0.09200001
2226.885,-0.098000005
2226.89,-0.10700001
2226.895,-0.13100001
2226.9,-0.171
2226.905,-0.21200001
2226.91,-0.22900002
2226.915,-0.21400002
2226.92,-0.18
2226.925,-0.15200001
2226.93,-0.142
2226.935,-0.142
2226.94,-0.135
2226.945,-0.12100001
2226.95,-0.116000004
2226.9548,-0.136
2226.96,-0.16700001
2226.9648,-0.18300001
2226.97,-0.17500001
2226.9749,-0.165
2226.98,-0.18
2226.9849,-0.20400001
2226.99,-0.19900002
2226.9949,-0.14500001
2227.0,-0.07700001
2227.005,-0.048
2227.01,-0.07700001
2227.015,-0.133
2227.02,-0.17400001
2227.025,-0.18400002
2227.03,-0.179
2227.035,-0.17300001
2227.04,-0.164
2227.045,-0.13900001
2227.05,-0.094000004
2227.055,-0.046000004
2227.06,-0.020000001
2227.065,-0.022000002
2227.07,-0.032
2227.075,-0.028
2227.0798,-0.023000002
2227.085,-0.048
2227.0898,-0.104
2227.095,-0.143
2227.0999,-0.113000005
2227.105,-0.003
2227.1099,0.163
2227.115,0.367
2227.1199,0.58000004
2227.125,0.71800005
2227.13,0.669
2227.135,0.407
2227.14,0.07
2227.145,-0.13700001
2227.15,-0.126
2227.155,0.010000001
2227.16,0.117000006
2227.165,0.13900001
2227.17,0.120000005
2227.175,0.11800001
2227.18,0.133
2227.185,0.14
2227.19,0.135
2227.195,0.128
2227.2,0.120000005
2227.2048,0.105000004
2227.21,0.086
2227.2148,0.075
2227.22,0.069000006
2227.2249,0.054
2227.23,0.033
2227.2349,0.027
2227.24,0.047000002
2227.2449,0.076000005
2227.25,0.09
2227.255,0.08400001
2227.26,0.078
2227.265,0.082
2227.27,0.08800001
2227.275,0.08400001
2227.28,0.076000005
2227.285,0.078
2227.29,0.09
2227.295,0.098000005
2227.3,0.095000006
2227.305,0.093
2227.31,0.105000004
2227.315,0.125
2227.32,0.128
2227.325,0.106000006
2227.3298,0.07700001
2227.335,0.074
2227.3398,0.104
2227.345,0.143
2227.3499,0.162
2227.355,0.155
2227.3599,0.14
2227.365,0.13100001
2227.3699,0.120000005
2227.375,0.09900001
2227.38,0.068
2227.385,0.039
2227.39,0.019000001
2227.395,-0.003
2227.4,-0.031000001
2227.405,-0.060000002
2227.41,-0.079
2227.415,-0.1
2227.42,-0.135
2227.425,-0.178
2227.43,-0.19700001
2227.435,-0.16800001
2227.44,-0.10700001
2227.445,-0.062000003
2227.45,-0.056
2227.4548,-0.069000006
2227.46,-0.068
2227.4648,-0.053000003
2227.47,-0.052
2227.4749,-0.07700001
2227.48,-0.106000006
2227.4849,-0.108
2227.49,-0.075
2227.4949,-0.027
2227.5,0.010000001
2227.505,0.022000002
2227.51,0.0
2227.515,-0.056
2227.52,-0.124000005
2227.525,-0.16700001
2227.53,-0.16800001
2227.535,-0.14500001
2227.54,-0.134
2227.545,-0.15
2227.55,-0.17400001
2227.555,-0.187
2227.56,-0.18800001
2227.565,-0.18900001
2227.57,-0.19600001
2227.575,-0.20300001
2227.5798,-0.20400001
2227.585,-0.202
2227.5898,-0.20500001
2227.595,-0.21400002
2227.5999,-0.224
2227.605,-0.22900002
2227.6099,-0.23200001
2227.615,-0.23600002
2227.6199,-0.24300002
2227.625,-0.25
2227.63,-0.25300002
2227.635,-0.25300002
2227.64,-0.254
2227.645,-0.259
2227.65,-0.26500002
2227.655,-0.268
2227.66,-0.26900002
2227.665,-0.27100003
2227.67,-0.27600002
2227.675,-0.28100002
2227.68,-0.28500003
2227.685,-0.286
2227.69,-0.289
2227.695,-0.293
2227.7,-0.29700002
2227.7048,-0.29900002
2227.71,-0.30100003
2227.7148,-0.30400002
2227.72,-0.30800003
2227.7249,-0.312
2227.73,-0.31500003
2227.7349,-0.321
2227.74,-0.33
2227.7449,-0.34100002
2227.75,-0.35300002
2227.755,-0.36400002
2227.76,-0.37500003
2227.765,-0.38700002
2227.77,-0.39800003
2227.775,-0.40800002
2227.78,-0.41400003
2227.785,-0.416
2227.79,-0.41700003
2227.795,-0.418
2227.8,-0.41900003
2227.805,-0.42400002
2227.81,-0.439
2227.815,-0.467
2227.82,-0.505
2227.825,-0.541
2227.8298,-0.573
2227.835,-0.60300004
2227.8398,-0.628
2227.845,-0.637
2227.8499,-0.62700003
2227.855,-0.62
2227.8599,-0.63900006
2227.865,-0.67700005
2227.8699,-0.694
2227.875,-0.679
2227.88,-0.665
2227.885,-0.688
2227.89,-0.73300004
2227.895,-0.74700004
2227.9,-0.69900006
2227.905,-0.60300004
2227.91,-0.47500002
2227.915,-0.316
2227.92,-0.15900001
2227.925,-0.10700001
2227.93,-0.25
2227.935,-0.55200005
2227.94,-0.84000003
2227.945,-0.96300006
2227.95,-0.9250001
2227.9548,-0.84900004
2227.96,-0.83100003
2227.9648,-0.86300004
2227.97,-0.89900005
2227.9749,-0.924
2227.98,-0.95400006
2227.9849,-0.98700005
2227.99,-1.008
2227.9949,-1.0200001
2228.0,-1.049
2228.005,-1.105
2228.01,-1.1620001
2228.015,-1.1880001
2228.02,-1.184
2228.025,-1.1700001
2228.03,-1.1450001
2228.035,-1.0860001
2228.04,-0.98100007
2228.045,-0.859
2228.05,-0.763
2228.055,-0.71800005
2228.06,-0.71000004
2228.065,-0.71400005
2228.07,-0.711
2228.075,-0.697
2228.0798,-0.674
2228.085,-0.651
2228.0898,-0.63600004
2228.095,-0.632
2228.0999,-0.637
2228.105,-0.65000004
2228.1099,-0.68
2228.115,-0.73300004
2228.1199,-0.80700004
2228.125,-0.88100004
2228.13,-0.93600005
2228.135,-0.96300006
2228.14,-0.97300005
2228.145,-0.98300004
2228.15,-1.001
2228.155,-1.0220001
2228.16,-1.039
2228.165,-1.059
2228.17,-1.0910001
2228.175,-1.141
2228.18,-1.195
2228.185,-1.241
2228.19,-1.273
2228.195,-1.297
2228.2,-1.32
2228.2048,-1.345
2228.21,-1.3740001
2228.2148,-1.401
2228.22,-1.417
2228.2249,-1.419
2228.23,-1.427
2228.2349,-1.4710001
2228.24,-1.557
2228.2449,-1.6480001
2228.25,-1.6990001
2228.255,-1.697
2228.26,-1.674
2228.265,-1.669
2228.27,-1.6910001
2228.275,-1.72
2228.28,-1.7370001
2228.285,-1.7390001
