dt,uV
2224.99,-5.92
2224.9949,-5.92
2225.0,-5.9040003
2225.005,-5.8770003
2225.01,-5.8570004
2225.015,-5.8490005
2225.02,-5.8360004
2225.025,-5.8160005
2225.03,-5.8030005
2225.035,-5.7980003
2225.04,-5.7970004
2225.045,-5.7900004
2225.05,-5.782
2225.055,-5.782
2225.06,-5.7920003
2225.065,-5.8
2225.07,-5.801
2225.075,-5.795
2225.0798,-5.7890005
2225.085,-5.7840004
2225.0898,-5.7860003
2225.095,-5.7900004
2225.0999,-5.795
2225.105,-5.7970004
2225.1099,-5.7980003
2225.115,-5.7980003
2225.1199,-5.7970004
2225.125,-5.795
2225.13,-5.7900004
2225.135,-5.7850003
2225.14,-5.7780004
2225.145,-5.774
2225.15,-5.7700005
2225.155,-5.7710004
2225.16,-5.7730002
2225.165,-5.774
2225.17,-5.775
2225.175,-5.7850003
2225.18,-5.8030005
2225.185,-5.8220005
2225.19,-5.8290005
2225.195,-5.8190002
2225.2,-5.802
2225.2048,-5.788
2225.21,-5.7770004
2225.2148,-5.756
2225.22,-5.7300005
2225.2249,-5.71
2225.23,-5.7050004
2225.2349,-5.71
2225.24,-5.715
2225.2449,-5.7120004
2225.25,-5.703
2225.255,-5.696
2225.26,-5.6930003
2225.265,-5.696
2225.27,-5.701
2225.275,-5.7050004
2225.28,-5.708
2225.285,-5.7170005
2225.29,-5.7300005
2225.295,-5.7310004
2225.3,-5.7130003
2225.305,-5.7000003
2225.31,-5.7260003
2225.315,-5.787
2225.32,-5.8240004
2225.325,-5.7850003
2225.3298,-5.664
2225.335,-5.485
2225.3398,-5.2530003
2225.345,-4.971
2225.3499,-4.715
2225.355,-4.637
2225.3599,-4.842
2225.365,-5.247
2225.3699,-5.6190004
2225.375,-5.7770004
2225.38,-5.7390003
2225.385,-5.656
2225.39,-5.6390004
2225.395,-5.6710005
2225.4,-5.6910005
2225.405,-5.677
2225.41,-5.6590004
2225.415,-5.656
2225.42,-5.663
2225.425,-5.6670003
2225.43,-5.669
2225.435,-5.6720004
2225.44,-5.676
2225.445,-5.6720004
2225.45,-5.6670003
2225.4548,-5.669
2225.46,-5.676
2225.4648,-5.681
2225.47,-5.676
2225.4749,-5.6660004
2225.48,-5.655
2225.4849,-5.656
2225.49,-5.668
2225.4949,-5.6800003
2225.5,-5.6780005
2225.505,-5.6610003
2225.51,-5.655
2225.515,-5.6870003
2225.52,-5.7460003
2225.525,-5.782
2225.53,-5.747
2225.535,-5.6400003
2225.54,-5.517
2225.545,-5.4360003
2225.55,-5.4170003
2225.555,-5.4230003
2225.56,-5.4020004
2225.565,-5.327
2225.57,-5.215
2225.575,-5.1080003
2225.5798,-5.043
2225.585,-5.0280004
2225.5898,-5.044
2225.595,-5.0670004
2225.5999,-5.085
2225.605,-5.1010003
2225.6099,-5.131
2225.615,-5.182
2225.6199,-5.243
2225.625,-5.293
2225.63,-5.3190002
2225.635,-5.326
2225.64,-5.3290005
2225.645,-5.3370004
2225.65,-5.3450003
2225.655,-5.354
2225.66,-5.367
2225.665,-5.3820004
2225.67,-5.3840003
2225.675,-5.374
2225.68,-5.3760004
2225.685,-5.4150004
2225.69,-5.4810004
2225.695,-5.5290003
2225.7,-5.5280004
2225.7048,-5.5000005
2225.71,-5.4820004
2225.7148,-5.459
2225.72,-5.38
2225.7249,-5.235
2225.73,-5.1000004
2225.7349,-5.046
2225.74,-5.052
2225.7449,-5.0230002
2225.75,-4.927
2225.755,-4.8510003
2225.76,-4.8960004
2225.765,-5.032
2225.77,-5.1320004
2225.775,-5.151
2225.78,-5.195
2225.785,-5.359
2225.79,-5.5400004
2225.795,-5.539
2225.8,-5.321
2225.805,-5.104
2225.81,-5.0800004
2225.815,-5.1460004
2225.82,-4.992
2225.825,-4.485
2225.8298,-3.8610003
2225.835,-3.466
2225.8398,-3.403
2225.845,-3.4740002
2225.8499,-3.4620001
2225.855,-3.3370001
2225.8599,-3.2140002
2225.865,-3.1580002
2225.8699,-3.1250002
2225.875,-3.0040002
2225.88,-2.7020001
2225.885,-2.174
2225.89,-1.4820001
2225.895,-0.80700004
2225.9,-0.35200003
2225.905,-0.17500001
2225.91,-0.147
2225.915,-0.08800001
2225.92,0.052
2225.925,0.179
2225.93,0.19800001
2225.935,0.125
2225.94,0.054
2225.945,0.038000003
2225.95,0.049000002
2225.9548,0.044000003
2225.96,0.059000004
2225.9648,0.18
2225.97,0.43500003
2225.9749,0.72700006
2225.98,0.92200005
2225.9849,0.989
2225.99,1.0220001
2225.9949,1.116
2226.0,1.25
2226.005,1.3340001
2226.01,1.3180001
2226.015,1.245
2226.02,1.172
2226.025,1.1120001
2226.03,1.074
2226.035,1.116
2226.04,1.2820001
2226.045,1.5200001
2226.05,1.7
2226.055,1.7320001
2226.06,1.6580001
2226.065,1.58
2226.07,1.552
2226.075,1.554
2226.0798,1.554
2226.085,1.554
2226.0898,1.567
2226.095,1.5860001
2226.0999,1.598
2226.105,1.6
2226.1099,1.6090001
2226.115,1.623
2226.1199,1.6250001
2226.125,1.6070001
2226.13,1.58
2226.135,1.5630001
2226.14,1.552
2226.145,1.534
2226.15,1.5020001
2226.155,1.47
2226.16,1.4460001
2226.165,1.4330001
2226.17,1.432
2226.175,1.4490001
2226.18,1.4690001
2226.185,1.4610001
2226.19,1.401
2226.195,1.312
2226.2,1.2340001
2226.2048,1.169
2226.21,1.085
2226.2148,0.98100007
2226.22,0.92
2226.2249,0.929
2226.23,0.93200004
2226.2349,0.808
2226.24,0.565
2226.2449,0.35500002
2226.25,0.312
2226.255,0.39900002
2226.26,0.47100002
2226.265,0.469
2226.27,0.469
2226.275,0.544
2226.28,0.65400004
2226.285,0.708
2226.29,0.698
2226.295,0.67800003
2226.3,0.67300004
2226.305,0.646
2226.31,0.597
2226.315,0.601
2226.32,0.72400004
2226.325,0.95300007
2226.3298,1.2270001
2226.335,1.5040001
2226.3398,1.728
2226.345,1.7760001
2226.3499,1.536
2226.355,1.062
2226.3599,0.59300005
2226.365,0.35000002
2226.3699,0.33
2226.375,0.35500002
2226.38,0.29900002
2226.385,0.21400002
2226.39,0.21200001
2226.395,0.29900002
2226.4,0.37600002
2226.405,0.38200003
2226.41,0.356
2226.415,0.365
2226.42,0.40500003
2226.425,0.423
2226.43,0.39800003
2226.435,0.367
2226.44,0.37
2226.445,0.39600003
2226.45,0.41900003
2226.4548,0.439
2226.46,0.48000002
2226.4648,0.54
2226.47,0.592
2226.4749,0.61300004
2226.48,0.61700004
2226.4849,0.62100005
2226.49,0.63000005
2226.4949,0.64000005
2226.5,0.65300006
2226.505,0.68
2226.51,0.721
2226.515,0.758
2226.52,0.781
2226.525,0.799
2226.53,0.83100003
2226.535,0.874
2226.54,0.91600007
2226.545,0.943
2226.55,0.96500003
2226.555,0.989
2226.56,1.016
2226.565,1.041
2226.57,1.059
2226.575,1.0760001
2226.5798,1.0830001
2226.585,1.072
2226.5898,1.0380001
2226.595,0.989
2226.5999,0.93900007
2226.605,0.89400005
2226.6099,0.85200006
2226.615,0.813
2226.6199,0.776
2226.625,0.744
2226.63,0.71800005
2226.635,0.694
2226.64,0.67200005
2226.645,0.65400004
2226.65,0.64100003
2226.655,0.63100004
2226.66,0.624
2226.665,0.615
2226.67,0.605
2226.675,0.596
2226.68,0.58900005
2226.685,0.583
2226.69,0.57500005
2226.695,0.564
2226.7,0.54700005
2226.7048,0.535
2226.71,0.531
2226.7148,0.536
2226.72,0.54300004
2226.7249,0.544
2226.73,0.536
2226.7349,0.526
2226.74,0.518
2226.7449,0.513
2226.75,0.507
2226.755,0.49800003
2226.76,0.49500003
2226.765,0.5
2226.77,0.51000005
2226.775,0.51500005
2226.78,0.51000005
2226.785,0.50200003
2226.79,0.50100005
2226.795,0.509
2226.8,0.521
2226.805,0.536
2226.81,0.554
2226.815,0.57600003
2226.82,0.597
2226.825,0.61
2226.8298,0.62
2226.835,0.63500005
2226.8398,0.65500003
2226.845,0.67200005
2226.8499,0.679
2226.855,0.67600006
2226.8599,0.66800004
2226.865,0.66200006
2226.8699,0.656
2226.875,0.648
2226.88,0.63900006
2226.885,0.632
2226.89,0.62100005
2226.895,0.595
2226.9,0.55700004
2226.905,0.518
2226.91,0.50100005
2226.915,0.513
2226.92,0.545
2226.925,0.574
2226.93,0.588
2226.935,0.592
2226.94,0.59800005
2226.945,0.606
2226.95,0.60400003
2226.9548,0.58000004
2226.96,0.55
2226.9648,0.536
2226.97,0.546
2226.9749,0.55600005
2226.98,0.54300004
2226.9849,0.52500004
2226.99,0.53800005
2226.9949,0.597
2227.0,0.66700006
2227.005,0.69500005
2227.01,0.665
2227.015,0.609
2227.02,0.569
2227.025,0.559
2227.03,0.563
2227.035,0.56700003
2227.04,0.573
2227.045,0.59800005
2227.05,0.647
2227.055,0.697
2227.06,0.72
2227.065,0.717
2227.07,0.71300006
2227.075,0.73
2227.0798,0.739
2227.085,0.70100003
2227.0898,0.624
2227.095,0.58000004
2227.0999,0.632
2227.105,0.791
2227.1099,1.0350001
2227.115,1.3460001
2227.1199,1.6710001
2227.125,1.8720001
2227.13,1.7860001
2227.135,1.3980001
2227.14,0.919
2227.145,0.63100004
2227.15,0.638
2227.155,0.80200005
2227.16,0.92200005
2227.165,0.93500006
2227.17,0.90700006
2227.175,0.906
2227.18,0.924
2227.185,0.92700005
2227.19,0.915
2227.195,0.90700006
2227.2,0.90400004
2227.2048,0.89300007
2227.21,0.873
2227.2148,0.86
2227.22,0.85600007
2227.2249,0.845
2227.23,0.82600003
2227.2349,0.82000005
2227.24,0.84000003
2227.2449,0.87000006
2227.25,0.88600004
2227.255,0.88100004
2227.26,0.87600005
2227.265,0.882
2227.27,0.89100003
