dt,uV
2356.99,-1.072
2356.9949,-1.072
2357.0,-1.0760001
2357.005,-1.082
2357.01,-1.0940001
2357.015,-1.1120001
2357.02,-1.1340001
2357.025,-1.153
2357.03,-1.167
2357.035,-1.177
2357.04,-1.189
2357.045,-1.2040001
2357.05,-1.2140001
2357.055,-1.217
2357.06,-1.2160001
2357.065,-1.218
2357.07,-1.2240001
2357.075,-1.23
2357.0798,-1.23
2357.085,-1.225
2357.0898,-1.22
2357.095,-1.22
2357.0999,-1.223
2357.105,-1.2270001
2357.1099,-1.228
2357.115,-1.228
2357.1199,-1.2270001
2357.125,-1.2270001
2357.13,-1.228
2357.135,-1.2290001
2357.14,-1.2310001
2357.145,-1.2320001
2357.15,-1.2310001
2357.155,-1.2290001
2357.16,-1.228
2357.165,-1.2290001
2357.17,-1.23
2357.175,-1.23
2357.18,-1.2290001
2357.185,-1.2290001
2357.19,-1.2310001
2357.195,-1.235
2357.2,-1.2370001
2357.2048,-1.238
2357.21,-1.2370001
2357.2148,-1.2370001
2357.22,-1.238
2357.2249,-1.2420001
2357.23,-1.243
2357.2349,-1.243
2357.24,-1.241
2357.2449,-1.241
2357.25,-1.243
2357.255,-1.245
2357.26,-1.245
2357.265,-1.243
2357.27,-1.2390001
2357.275,-1.2340001
2357.28,-1.2270001
2357.285,-1.222
2357.29,-1.223
2357.295,-1.2290001
2357.3,-1.238
2357.305,-1.2420001
2357.31,-1.2420001
2357.315,-1.241
2357.32,-1.2420001
2357.325,-1.248
2357.3298,-1.256
2357.335,-1.268
2357.3398,-1.279
2357.345,-1.2830001
2357.3499,-1.281
2357.355,-1.2770001
2357.3599,-1.2750001
2357.365,-1.276
2357.3699,-1.276
2357.375,-1.2750001
2357.38,-1.274
2357.385,-1.274
2357.39,-1.273
2357.395,-1.273
2357.4,-1.2620001
2357.405,-1.21
2357.41,-1.093
2357.415,-0.94600004
2357.42,-0.88100004
2357.425,-0.99300003
2357.43,-1.2600001
2357.435,-1.5270001
2357.44,-1.6380001
2357.445,-1.567
2357.45,-1.4200001
2357.4548,-1.3160001
2357.46,-1.2830001
2357.4648,-1.279
2357.47,-1.268
2357.4749,-1.2520001
2357.48,-1.2490001
2357.4849,-1.2540001
2357.49,-1.253
2357.4949,-1.2440001
2357.5,-1.2370001
2357.505,-1.235
2357.51,-1.2320001
2357.515,-1.2270001
2357.52,-1.223
2357.525,-1.225
2357.53,-1.2260001
2357.535,-1.2210001
2357.54,-1.213
2357.545,-1.207
2357.55,-1.2030001
2357.555,-1.1980001
2357.56,-1.1910001
2357.565,-1.1850001
2357.57,-1.1810001
2357.575,-1.177
2357.5798,-1.1700001
2357.585,-1.159
2357.5898,-1.1500001
2357.595,-1.141
2357.5999,-1.133
2357.605,-1.121
2357.6099,-1.107
2357.615,-1.093
2357.6199,-1.082
2357.625,-1.072
2357.63,-1.0630001
2357.635,-1.056
2357.64,-1.0500001
2357.645,-1.047
2357.65,-1.044
2357.655,-1.039
2357.66,-1.034
2357.665,-1.034
2357.67,-1.0430001
2357.675,-1.0610001
2357.68,-1.0830001
2357.685,-1.103
2357.69,-1.118
2357.695,-1.13
2357.7,-1.141
2357.7048,-1.1520001
2357.71,-1.1630001
2357.7148,-1.1730001
2357.72,-1.1800001
2357.7249,-1.184
2357.73,-1.184
2357.7349,-1.1830001
2357.74,-1.184
2357.7449,-1.187
2357.75,-1.19
2357.755,-1.19
2357.76,-1.1860001
2357.765,-1.182
