dt,uV
1249.995,-2.5110002
1250.0,-2.344
1250.005,-2.1790001
1250.01,-2.1560001
1250.015,-2.357
1250.02,-2.6990001
1250.025,-2.979
1250.03,-3.045
1250.0349,-2.924
1250.0399,-2.7700002
1250.0449,-2.696
1250.0499,-2.697
1250.0549,-2.7050002
1250.0599,-2.6890001
1250.065,-2.6720002
1250.07,-2.674
1250.075,-2.687
1250.08,-2.6920002
1250.085,-2.6910002
1250.09,-2.693
1250.095,-2.6980002
1250.1,-2.7
1250.105,-2.697
1250.11,-2.697
1250.115,-2.7010002
1250.12,-2.7020001
1250.125,-2.6940002
1250.13,-2.683
1250.135,-2.68
1250.14,-2.6850002
1250.145,-2.6880002
1250.15,-2.68
1250.155,-2.664
1250.1599,-2.6430001
1250.1649,-2.6260002
1250.1699,-2.6130002
1250.1749,-2.604
1250.1799,-2.592
1250.1849,-2.581
1250.19,-2.5730002
1250.195,-2.5740001
1250.2,-2.581
1250.205,-2.5890002
1250.21,-2.5960002
1250.215,-2.6060002
1250.22,-2.624
1250.225,-2.65
1250.23,-2.6780002
1250.235,-2.707
1250.24,-2.7350001
1250.245,-2.762
1250.25,-2.7840002
1250.255,-2.802
1250.26,-2.8170002
1250.265,-2.831
1250.27,-2.844
1250.275,-2.8520002
1250.28,-2.8560002
1250.2849,-2.857
1250.2899,-2.8590002
1250.2949,-2.8630002
1250.2999,-2.8660002
1250.3049,-2.868
1250.3099,-2.871
1250.315,-2.878
1250.32,-2.8850002
1250.325,-2.8890002
1250.33,-2.8880002
1250.335,-2.8880002
1250.34,-2.8920002
1250.345,-2.8990002
1250.35,-2.9050002
1250.355,-2.9050002
1250.36,-2.9060001
1250.365,-2.9120002
1250.37,-2.923
1250.375,-2.9350002
1250.38,-2.9410002
1250.385,-2.943
1250.39,-2.9450002
1250.395,-2.946
1250.4,-2.9410002
1250.405,-2.933
1250.4099,-2.926
1250.4149,-2.9250002
1250.4199,-2.9280002
1250.4249,-2.93
1250.4299,-2.9340003
1250.4349,-2.94
1250.44,-2.9480002
1250.445,-2.9540002
1250.45,-2.9570003
1250.455,-2.959
1250.46,-2.963
1250.465,-2.9710002
1250.47,-2.979
1250.475,-2.9850001
1250.48,-2.986
1250.485,-2.986
1250.49,-2.9870002
1250.495,-2.9910002
1250.5,-2.9950001
1250.505,-3.0010002
1250.51,-3.006
1250.515,-2.9900002
1250.52,-2.917
1250.525,-2.776
1250.53,-2.627
1250.5349,-2.591
1250.5399,-2.749
1250.5449,-3.045
1250.5499,-3.3100002
1250.5549,-3.4010003
1250.5599,-3.318
1250.565,-3.1780002
1250.57,-3.0930002
1250.575,-3.075
1250.58,-3.078
1250.585,-3.071
1250.59,-3.0630002
1250.595,-3.0670002
1250.6,-3.075
1250.605,-3.075
1250.61,-3.0700002
1250.615,-3.0700002
1250.62,-3.0740001
1250.625,-3.0760002
1250.63,-3.071
1250.635,-3.0690002
1250.64,-3.0740001
1250.645,-3.0800002
1250.65,-3.081
1250.655,-3.078
1250.6599,-3.0740001
1250.6649,-3.072
1250.6699,-3.0670002
1250.6749,-3.0590003
1250.6799,-3.0500002
1250.6849,-3.042
1250.69,-3.032
