dt,uV
1515.99,-0.44300002
1515.995,0.0
1516.0,0.0
1516.005,0.72900003
1516.01,-0.717
1516.015,0.0
1516.02,0.108
1516.025,7.708
1516.0299,13.314001
1516.0349,15.759001
1516.0399,15.823001
1516.0449,15.110001
1516.0499,13.152
1516.0549,8.707001
1516.0599,2.9150002
1516.065,-0.35000002
1516.07,0.0
1516.075,0.0
1516.08,0.84700006
1516.085,0.055000003
1516.09,-0.083000004
1516.095,0.0
1516.1,0.21100001
1516.105,0.27100003
1516.11,-0.16700001
1516.115,0.0
1516.12,0.0
1516.125,0.22200002
1516.13,0.009000001
1516.135,-0.030000001
1516.14,0.0
1516.145,0.057000004
1516.15,0.082
1516.1549,-0.059000004
1516.1599,0.0
1516.1649,0.0
1516.1699,0.075
1516.1749,0.004
1516.1799,-0.018000001
1516.1849,0.0
1516.19,0.032
1516.195,0.026
1516.2,-0.017
1516.205,0.0
1516.21,0.003
1516.215,0.018000001
1516.22,0.0
1516.225,-0.0050000004
1516.23,0.0
1516.235,0.003
1516.24,0.0
1516.245,-0.003
1516.25,0.0
1516.255,-0.001
1516.26,0.001
1516.265,0.0
1516.27,0.0
1516.275,0.0
1516.2799,0.0
1516.2849,0.0
1516.2899,0.001
1516.2949,0.001
1516.2999,0.0
1516.3049,0.0
1516.3099,0.001
1516.315,0.002
1516.32,0.0
1516.325,-0.001
1516.33,0.0
1516.335,0.003
1516.34,0.003
1516.345,-0.002
1516.35,-0.003
1516.355,0.003
1516.36,0.007
1516.365,0.0
1516.37,-0.0050000004
1516.375,-0.003
1516.38,0.010000001
1516.385,0.008
1516.39,-0.0050000004
1516.395,-0.0050000004
1516.4,0.007
1516.4049,0.020000001
1516.4099,0.0
1516.4149,-0.0050000004
1516.4199,-0.0050000004
1516.4249,0.027
1516.4299,0.020000001
1516.4349,-0.0050000004
1516.44,-0.0050000004
1516.445,0.020000001
1516.45,0.029000001
1516.455,-0.0050000004
1516.46,0.101
1516.465,0.615
1516.47,1.3620001
1516.475,1.7730001
1516.48,1.4350001
1516.485,0.586
1516.49,-0.0050000004
1516.495,-0.0050000004
1516.5,-0.002
1516.505,0.13100001
1516.51,0.036000002
1516.515,-0.0050000004
1516.52,-0.0050000004
1516.525,0.044000003
1516.5299,0.049000002
1516.5349,-0.0050000004
1516.5399,-0.0050000004
1516.5449,0.003
1516.5499,0.035
1516.5549,0.009000001
1516.5599,-0.0050000004
1516.565,-0.0050000004
1516.57,0.016
1516.575,0.016
1516.58,-0.0050000004
1516.585,-0.0050000004
1516.59,0.002
1516.595,0.012
1516.6,0.003
1516.605,-0.0050000004
1516.61,-0.0050000004
1516.615,0.006
1516.62,0.0050000004
1516.625,-0.002
1516.63,-0.0050000004
1516.635,0.001
1516.64,0.004
1516.645,0.001
1516.65,-0.001
1516.6549,-0.001
1516.6599,0.001
1516.6649,0.001
1516.6699,0.0
1516.6749,-0.001
1516.6799,0.0
1516.6849,0.001
1516.69,0.0
1516.695,0.0
1516.7,0.0
1516.705,0.0
1516.71,0.0
1516.715,0.0
1516.72,0.0
1516.725,0.0
1516.73,0.0
1516.735,0.0
1516.74,0.0
1516.745,0.0
1516.75,0.0
1516.755,0.0
1516.76,0.0
1516.765,0.0
1516.77,0.0
1516.775,0.0
1516.7799,0.0
1516.7849,0.0
1516.7899,0.0
1516.7949,0.0
1516.7999,0.0
1516.8049,0.0
1516.8099,0.0
1516.815,0.0
1516.82,0.0
1516.825,0.0
1516.83,0.0
1516.835,0.0
1516.84,0.0
1516.845,0.0
1516.85,0.0
1516.855,0.0
1516.86,0.0
1516.865,0.0
1516.87,0.0
1516.875,0.0
1516.88,0.0
1516.885,0.0
1516.89,0.0
1516.895,0.0
1516.9,0.0
1516.9049,0.0
1516.9099,0.0
1516.9149,0.001
1516.9199,0.002
1516.9249,0.0
1516.9299,-0.002
1516.9349,0.0
1516.94,0.0
1516.945,0.0
1516.95,0.0
1516.955,-0.002
1516.96,0.001
1516.965,0.0
1516.97,0.0
1516.975,-0.004
1516.98,-0.001
1516.985,0.006
1516.99,0.0
1516.995,0.0
1517.0,-0.007
1517.005,0.0050000004
1517.01,0.0
1517.015,0.0
1517.02,-0.014
1517.025,-0.002
1517.0299,0.016
1517.0349,0.0
1517.0399,0.0
1517.0449,-0.018000001
1517.0499,0.016
1517.0549,0.0
1517.0599,0.0
1517.065,-0.041
1517.07,-0.003
1517.075,0.045
1517.08,0.0
1517.085,0.0
1517.09,-0.063
1517.095,0.089
1517.1,0.0
1517.105,0.0
1517.11,-0.808
1517.115,-1.343
1517.12,-1.4150001
1517.125,-1.085
1517.13,-0.717
1517.135,-0.551
1517.14,-0.52000004
1517.145,-0.45100003
1517.15,-0.307
1517.1549,-0.185
1517.1599,-0.15300001
1517.1649,-0.16600001
1517.1699,-0.143
1517.1749,-0.07
1517.1799,-0.013
1517.1849,-0.025
1517.19,-0.068
1517.195,-0.057000004
1517.2,0.018000001
1517.205,0.059000004
1517.21,-0.002
1517.215,-0.07300001
1517.22,-0.022000002
1517.225,0.098000005
1517.23,0.09200001
1517.235,-0.062000003
1517.24,-0.11400001
1517.245,0.075
1517.25,0.23400001
1517.255,0.027
1517.26,-0.323
1517.265,-0.15
1517.27,0.762
1517.275,1.6780001
1517.2799,1.669
1517.2849,0.0
1517.2899,0.0
1517.2949,-0.34300002
1517.2999,0.035
1517.3049,0.0
1517.3099,0.0
1517.315,-0.162
1517.32,-0.033
1517.325,0.0
1517.33,0.0
1517.335,-0.28300002
1517.34,-0.37
1517.345,-0.15300001
1517.35,0.0
1517.355,0.0
1517.36,-0.16800001
1517.365,-0.224
1517.37,-0.13800001
1517.375,0.0
1517.38,-0.13100001
1517.385,-0.157
1517.39,-0.07300001
1517.395,0.047000002
1517.4,0.0
1517.4049,0.032
1517.4099,-0.012
1517.4149,-0.018000001
1517.4199,0.0
1517.4249,-0.061000004
1517.4299,-0.082
1517.4349,0.0
1517.44,-0.066
1517.445,-0.07700001
1517.45,-0.057000004
1517.455,0.029000001
1517.46,0.13000001
1517.465,0.148
1517.47,0.0
1517.475,0.0
1517.48,-0.039
1517.485,-0.003
1517.49,0.0
1517.495,0.0
1517.5,-0.011000001
1517.505,0.0
1517.51,0.0
1517.515,0.013
1517.52,0.012
1517.525,0.0
1517.5299,0.0
1517.5349,-0.011000001
1517.5399,0.054
1517.5449,0.133
1517.5499,0.16900001
1517.5549,0.141
1517.5599,0.096
1517.565,0.081
1517.57,0.096
1517.575,0.113000005
1517.58,0.128
1517.585,0.15200001
1517.59,0.172
1517.595,0.15400001
1517.6,0.10700001
1517.605,0.086
1517.61,0.124000005
1517.615,0.172
1517.62,0.158
1517.625,0.087000005
1517.63,0.043
1517.635,0.069000006
1517.64,0.10700001
1517.645,0.075
1517.65,-0.010000001
1517.6549,-0.048
1517.6599,0.010000001
1517.6649,0.097
1517.6699,0.11400001
1517.6749,0.061000004
1517.6799,0.004
1517.6849,-0.022000002
1517.69,-0.043
1517.695,0.0
1517.7,-0.041
1517.705,0.016
1517.71,0.021000002
1517.715,-0.071
1517.72,-0.15
1517.725,-0.075
1517.73,0.086
1517.735,0.097
1517.74,-0.106000006
1517.745,-0.245
1517.75,0.001
1517.755,0.36100003
1517.76,0.86300004
1517.765,0.70000005
1517.77,0.26500002
1517.775,0.014
1517.7799,0.072000004
1517.7849,0.17300001
1517.7899,0.102000006
1517.7949,-0.021000002
1517.7999,0.003
1517.8049,0.105000004
1517.8099,0.046000004
1517.815,-0.187
1517.82,-0.33200002
1517.825,-0.22700001
1517.83,-0.071
1517.835,-0.133
1517.84,-0.34600002
1517.845,-0.37600002
1517.85,-0.094000004
1517.855,0.23700002
1517.86,0.294
1517.865,0.096
1517.87,-0.069000006
1517.875,0.0
1517.88,0.0
1517.885,0.0
1517.89,-0.048
1517.895,-0.061000004
1517.9,-0.006
1517.9049,0.0
1517.9099,0.0
1517.9149,-0.09
1517.9199,-0.07
1517.9249,-0.030000001
1517.9299,-0.022000002
1517.9349,0.0
1517.94,0.0
1517.945,0.0
1517.95,-0.021000002
1517.955,-0.164
1517.96,-0.264
1517.965,-0.23500001
1517.97,-0.119
1517.975,-0.020000001
1517.98,0.0
1517.985,0.0
1517.99,-0.007
1517.995,-0.019000001
1518.0,0.0
1518.005,0.0
1518.01,0.0
1518.015,-0.004
1518.02,-0.109000005
1518.025,-0.172
1518.0299,-0.13100001
1518.0349,0.0
1518.0399,0.0
1518.0449,0.045
1518.0499,0.019000001
1518.0549,0.010000001
1518.0599,0.0
1518.065,0.0
1518.07,-0.007
1518.075,-0.011000001
1518.08,0.0
1518.085,0.0
1518.09,0.002
1518.095,-0.006
1518.1,-0.004
1518.105,0.0
1518.11,0.0
1518.115,-0.002
1518.12,-0.003
1518.125,0.0
1518.13,0.0
1518.135,0.001
1518.14,-0.002
1518.145,-0.001
1518.15,0.0
1518.1549,0.0
1518.1599,0.0
1518.1649,-0.001
1518.1699,0.0
1518.1749,0.0
1518.1799,0.0
1518.1849,0.0
1518.19,-0.001
1518.195,0.0
1518.2,0.0
1518.205,0.0
1518.21,0.0
1518.215,0.0
1518.22,0.0
1518.225,0.0
1518.23,0.0
1518.235,0.0
1518.24,0.0
1518.245,0.0
1518.25,0.0
1518.255,0.0
1518.26,0.0
1518.265,0.0
1518.27,0.0
1518.275,0.0
1518.2799,0.0
1518.2849,0.0
1518.2899,0.0
1518.2949,0.0
1518.2999,0.0
1518.3049,0.0
1518.3099,0.0
1518.315,0.0
1518.32,0.0
1518.325,0.0
1518.33,0.0
1518.335,0.0
1518.34,0.0
1518.345,0.0
1518.35,0.0
1518.355,0.0
1518.36,0.0
1518.365,0.0
1518.37,0.0
1518.375,0.0
1518.38,0.0
1518.385,0.0
1518.39,0.0
1518.395,0.0
1518.4,0.0
1518.4049,0.0
1518.4099,0.0
1518.4149,0.0
1518.4199,0.0
1518.4249,0.0
1518.4299,0.0
1518.4349,0.0
1518.44,0.0
1518.445,0.0
1518.45,0.0
1518.455,0.0
1518.46,0.0
1518.465,0.0
1518.47,0.0
1518.475,0.0
1518.48,0.0
1518.485,0.0
1518.49,0.0
1518.495,0.0
1518.5,0.0
1518.505,0.0
1518.51,0.0
1518.515,0.0
1518.52,0.0
1518.525,0.0
1518.5299,0.0
1518.5349,0.0
1518.5399,0.0
1518.5449,0.0
1518.5499,0.0
1518.5549,0.0
1518.5599,0.0
1518.565,0.0
1518.57,0.0
1518.575,0.0
1518.58,0.0
1518.585,0.0
1518.59,0.0
1518.595,0.0
1518.6,0.0
1518.605,0.0
1518.61,0.0
1518.615,0.0
1518.62,0.0
1518.625,0.0
1518.63,0.0
1518.635,0.0
1518.64,0.0
1518.645,0.0
1518.65,0.0
1518.6549,0.0
1518.6599,0.0
1518.6649,0.0
1518.6699,0.0
1518.6749,0.0
1518.6799,0.0
1518.6849,0.0
1518.69,0.0
1518.695,0.0
1518.7,0.0
1518.705,0.0
1518.71,0.0
1518.715,0.0
1518.72,0.0
1518.725,0.0
1518.73,-0.001
1518.735,0.0
1518.74,0.0
1518.745,0.001
1518.75,-0.001
1518.755,0.0
1518.76,0.0
1518.765,0.0
1518.77,-0.001
1518.775,-0.004
1518.7799,0.0
1518.7849,0.0
1518.7899,0.004
1518.7949,-0.0050000004
1518.7999,-0.006
1518.8049,0.0
1518.8099,0.0
1518.815,-0.002
1518.82,-0.013
1518.825,0.0
1518.83,0.0
1518.835,0.009000001
1518.84,-0.015000001
1518.845,-0.018000001
1518.85,0.0
1518.855,0.0
1518.86,-0.007
1518.865,-0.037
1518.87,0.0
1518.875,0.0
1518.88,0.018000001
1518.885,-0.063
1518.89,-0.040000003
1518.895,0.0
1518.9,0.0
1518.9049,-0.45000002
1518.9099,-1.3100001
1518.9149,-1.9120001
1518.9199,-1.784
1518.9249,-1.1060001
1518.9299,-0.52500004
1518.9349,-0.483
1518.94,-0.851
1518.945,-1.2140001
1518.95,-1.3790001
1518.955,-1.4640001
1518.96,-1.6060001
1518.965,-1.7390001
1518.97,-1.7220001
1518.975,-1.5730001
1518.98,-1.4870001
1518.985,-1.5870001
1518.99,-1.7420001
1518.995,-1.6700001
1519.0,-1.2310001
1519.005,-0.592
1519.01,-0.08400001
1519.015,0.0
1519.02,0.0
1519.025,-0.038000003
1519.0299,-0.035
1519.0349,0.0
1519.0399,0.0
1519.0449,0.0
1519.0499,-0.013
1519.0549,-0.011000001
1519.0599,0.0
1519.065,0.0
1519.07,0.004
1519.075,-0.007
1519.08,-0.022000002
1519.085,0.0
1519.09,0.0
1519.095,0.0
1519.1,-0.034
1519.105,-0.055000003
1519.11,0.0
1519.115,0.0
1519.12,0.0
1519.125,-0.35300002
1519.13,-0.73
1519.135,-0.878
1519.14,-0.79600006
1519.145,-0.69900006
1519.15,-0.73600006
1519.1549,-0.83100003
1519.1599,-0.85
1519.1649,-0.786
1519.1699,-0.74200004
1519.1749,-0.758
1519.1799,-0.772
1519.1849,-0.72400004
1519.19,-0.632
1519.195,-0.52500004
1519.2,-0.38200003
1519.205,-0.192
1519.21,-0.018000001
1519.215,0.0
1519.22,0.0
1519.225,-0.024
1519.23,-0.023000002
1519.235,0.0
1519.24,0.0
1519.245,-0.001
1519.25,-0.014
1519.255,-0.004
1519.26,0.0
1519.265,0.0
1519.27,-0.006
1519.275,-0.006
1519.2799,0.0
1519.2849,0.0
1519.2899,0.0
1519.2949,-0.004
1519.2999,-0.001
1519.3049,0.0
1519.3099,0.001
1519.315,-0.001
1519.32,-0.002
1519.325,0.0
1519.33,0.0
1519.335,0.0
1519.34,0.0
1519.345,0.0
1519.35,0.001
1519.355,0.001
1519.36,-0.001
1519.365,0.0
1519.37,0.0
1519.375,0.0
1519.38,0.0
1519.385,0.0
1519.39,0.0
1519.395,0.0
1519.4,0.0
1519.4049,0.0
1519.4099,0.0
1519.4149,0.0
1519.4199,0.0
1519.4249,0.0
1519.4299,0.0
1519.4349,0.0
1519.44,0.0
1519.445,0.0
1519.45,0.0
1519.455,0.0
1519.46,0.0
1519.465,0.0
1519.47,0.0
1519.475,0.0
1519.48,0.0
1519.485,0.0
1519.49,0.0
1519.495,0.0
1519.5,0.0
1519.505,0.0
1519.51,0.0
1519.515,0.0
1519.52,0.0
1519.525,0.0
1519.5299,0.0
1519.5349,0.0
1519.5399,0.0
1519.5449,0.0
1519.5499,0.0
1519.5549,0.0
1519.5599,0.0
1519.565,0.0
1519.57,0.0
1519.575,0.0
1519.58,0.0
1519.585,0.0
1519.59,0.0
1519.595,0.0
1519.6,0.0
1519.605,0.0
1519.61,0.0
1519.615,0.0
1519.62,0.0
1519.625,0.0
1519.63,0.0
1519.635,0.0
1519.64,0.0
1519.645,0.0
1519.65,0.0
1519.6549,0.0
1519.6599,0.0
1519.6649,0.0
1519.6699,0.0
1519.6749,0.0
1519.6799,0.0
1519.6849,0.0
1519.69,0.0
1519.695,0.0
1519.7,0.0
1519.705,0.0
1519.71,0.0
1519.715,0.0
1519.72,0.0
1519.725,0.0
1519.73,0.0
1519.735,0.0
1519.74,0.0
1519.745,0.0
1519.75,0.0
1519.755,0.0
1519.76,0.0
1519.765,0.0
1519.77,0.0
1519.775,0.0
1519.7799,0.0
1519.7849,0.0
1519.7899,0.0
1519.7949,0.0
1519.7999,0.0
1519.8049,0.0
1519.8099,0.0
1519.815,0.0
1519.82,0.0
1519.825,0.0
1519.83,0.0
1519.835,0.0
1519.84,0.0
1519.845,0.0
1519.85,0.0
1519.855,0.0
1519.86,0.0
1519.865,0.0
1519.87,0.0
1519.875,0.0
1519.88,0.0
1519.885,0.0
1519.89,0.0
1519.895,0.0
1519.9,0.0
1519.9049,0.0
1519.9099,0.0
1519.9149,0.0
1519.9199,0.0
1519.9249,0.0
1519.9299,0.0
1519.9349,0.0
1519.94,0.0
1519.945,0.0
1519.95,0.0
1519.955,0.0
1519.96,0.0
1519.965,0.0
1519.97,0.0
1519.975,0.0
1519.98,0.0
1519.985,0.0
1519.99,0.0
1519.995,0.0
1520.0,0.0
1520.005,0.0
1520.01,0.0
1520.015,0.0
1520.02,0.0
1520.025,0.0
1520.0299,0.0
1520.0349,0.0
1520.0399,0.0
1520.0449,0.0
1520.0499,-0.001
1520.0549,0.0
1520.0599,0.0
1520.065,0.001
1520.07,0.001
1520.075,-0.002
1520.08,-0.002
1520.085,0.001
1520.09,0.0
1520.095,0.0
1520.1,-0.006
1520.105,-0.001
1520.11,0.0
1520.115,0.0
1520.12,-0.009000001
1520.125,-0.013
1520.13,0.006
1520.135,0.0
1520.14,0.0
1520.145,-0.030000001
1520.15,-0.006
1520.1549,0.0
1520.1599,0.0
1520.1649,-0.036000002
1520.1699,-0.044000003
1520.1749,0.028
1520.1799,0.0
1520.1849,0.0
1520.19,-0.093
1520.195,-0.019000001
1520.2,0.0
1520.205,0.0
1520.21,-0.116000004
1520.215,-0.13100001
1520.22,0.076000005
1520.225,0.0
1520.23,0.0
1520.235,-0.321
1520.24,-0.044000003
1520.245,0.0
1520.25,0.0
1520.255,-1.008
1520.26,-2.331
1520.265,-2.404
1520.27,-1.241
1520.275,0.0
1520.2799,0.0
1520.2849,0.113000005
1520.2899,-0.09200001
1520.2949,-0.551
1520.2999,-1.7590001
1520.3049,-3.3190002
1520.3099,-4.057
1520.315,-3.4190001
1520.32,-2.17
1520.325,-1.4210001
1520.33,-1.358
1520.335,-1.327
1520.34,-0.92
1520.345,-0.45900002
1520.35,-0.36400002
1520.355,-0.503
1520.36,-0.45700002
1520.365,-0.17
1520.37,-0.004
1520.375,-0.135
1520.38,-0.279
1520.385,-0.142
1520.39,0.11100001
1520.395,0.094000004
1520.4,-0.17300001
1520.4049,-0.246
1520.4099,0.061000004
1520.4149,0.335
1520.4199,0.18900001
1520.4249,-0.043
1520.4299,0.287
1520.4349,1.069
1520.44,1.3340001
1520.445,0.51900005
1520.45,-0.661
1520.455,-1.054
1520.46,-0.549
1520.465,-0.089
1520.47,-0.24800001
1520.475,-0.467
1520.48,0.007
1520.485,1.0090001
1520.49,1.8240001
1520.495,2.282
1520.5,2.799
1520.505,3.374
1520.51,3.3100002
1520.515,2.239
1520.52,0.878
1520.525,0.263
1520.5299,0.504
1520.5349,0.79600006
1520.5399,0.582
1520.5449,0.15900001
1520.5499,0.05
1520.5549,0.22700001
1520.5599,0.296
1520.565,0.13800001
1520.57,0.024
1520.575,0.127
1520.58,0.264
1520.585,0.216
1520.59,0.024
1520.595,-0.125
1520.6,-0.19500001
1520.605,-0.284
1520.61,-0.42000002
1520.615,-0.48100004
1520.62,-0.358
1520.625,-0.096
1520.63,0.155
1520.635,0.26700002
1520.64,0.23
1520.645,0.0
1520.65,0.0
1520.6549,0.106000006
1520.6599,0.23400001
1520.6649,0.30400002
1520.6699,0.22900002
1520.6749,0.076000005
1520.6799,-0.008
1520.6849,0.027
1520.69,0.0
1520.695,0.029000001
1520.7,-0.065000005
1520.705,-0.080000006
1520.71,0.0
1520.715,0.047000002
1520.72,0.0
1520.725,0.0
1520.73,0.014
1520.735,0.040000003
1520.74,-0.2
1520.745,-0.67
1520.75,-0.97400004
1520.755,-0.76100004
1520.76,-0.157
1520.765,0.34100002
1520.77,0.40500003
1520.775,0.0
1520.7799,0.0
1520.7849,-0.038000003
1520.7899,0.014
1520.7949,0.0
1520.7999,0.0
1520.8049,0.022000002
1520.8099,0.096
1520.815,0.10300001
1520.82,0.032
1520.825,-0.024
1520.83,-0.007
1520.835,0.048
1520.84,0.07700001
1520.845,0.078
1520.85,0.082
1520.855,0.091000006
1520.86,0.08800001
1520.865,0.079
1520.87,0.086
1520.875,0.112
1520.88,0.126
1520.885,0.11000001
1520.89,0.079
1520.895,0.061000004
1520.9,0.058000002
1520.9049,0.062000003
1520.9099,0.076000005
1520.9149,0.097
1520.9199,0.10700001
1520.9249,0.082
1520.9299,0.043
1520.9349,0.026
1520.94,0.0
1520.945,0.0
1520.95,-0.058000002
1520.955,-0.132
1520.96,-0.147
1520.965,-0.094000004
1520.97,-0.031000001
1520.975,-0.009000001
1520.98,-0.021000002
1520.985,-0.021000002
1520.99,-0.002
1520.995,0.011000001
1521.0,-0.001
1521.005,-0.022000002
1521.01,-0.023000002
1521.015,-0.001
1521.02,0.016
1521.025,0.012
1521.0299,0.001
1521.0349,0.003
1521.0399,0.019000001
1521.0449,0.015000001
1521.0499,-0.029000001
1521.0549,-0.087000005
1521.0599,-0.098000005
1521.065,-0.030000001
1521.07,0.074
1521.075,0.13900001
1521.08,0.12900001
1521.085,0.07
1521.09,-0.003
1521.095,-0.076000005
1521.1,-0.142
1521.105,-0.17400001
1521.11,-0.13700001
1521.115,-0.044000003
1521.12,0.039
1521.125,0.054
1521.13,0.0
1521.135,0.0
1521.14,0.0
1521.145,0.010000001
1521.15,0.011000001
1521.1549,0.0
1521.1599,0.0
1521.1649,0.0
1521.1699,0.013
1521.1749,0.001
1521.1799,0.0
1521.1849,0.0
1521.19,0.0
1521.195,0.013
1521.2,-0.016
1521.205,0.0
1521.21,0.0
1521.215,0.034
1521.22,-0.006
1521.225,-0.058000002
1521.23,0.0
1521.235,0.0
1521.24,0.3
1521.245,0.286
1521.25,0.128
1521.255,0.0
1521.26,0.0
1521.265,0.002
1521.27,0.032
1521.275,0.0
1521.2799,0.0
1521.2849,-0.011000001
1521.2899,0.012
1521.2949,0.0
1521.2999,0.0
1521.3049,0.0
1521.3099,0.002
1521.315,0.009000001
1521.32,0.0
1521.325,0.0
1521.33,-0.004
1521.335,0.0050000004
1521.34,0.0
1521.345,0.0
1521.35,0.0
1521.355,0.001
1521.36,0.003
1521.365,0.0
1521.37,0.0
1521.375,-0.001
1521.38,0.002
1521.385,0.0
1521.39,0.0
1521.395,0.0
1521.4,0.0
1521.4049,0.001
1521.4099,0.0
1521.4149,0.0
1521.4199,0.0
1521.4249,0.0
1521.4299,0.0
1521.4349,0.0
1521.44,0.0
1521.445,-0.001
1521.45,0.0
1521.455,0.0
1521.46,0.0
1521.465,0.0
1521.47,0.0
1521.475,0.0
1521.48,0.0
1521.485,0.0
1521.49,0.0
1521.495,0.0
1521.5,0.0
1521.505,0.0
1521.51,0.0
1521.515,0.0
1521.52,0.0
1521.525,0.0
1521.5299,0.0
1521.5349,0.0
1521.5399,0.0
1521.5449,0.0
1521.5499,0.0
1521.5549,0.0
1521.5599,0.0
1521.565,0.0
1521.57,0.0
1521.575,0.0
1521.58,0.0
1521.585,0.0
1521.59,0.0
1521.595,0.0
1521.6,0.0
1521.605,0.0
1521.61,0.0
1521.615,0.0
1521.62,0.0
1521.625,0.0
1521.63,0.0
1521.635,0.0
1521.64,0.0
1521.645,0.0
1521.65,0.0
1521.6549,0.0
1521.6599,0.0
1521.6649,0.0
1521.6699,0.0
1521.6749,0.0
1521.6799,0.0
1521.6849,0.0
1521.69,0.0
1521.695,0.0
1521.7,0.0
1521.705,0.0
1521.71,0.0
1521.715,0.0
1521.72,0.0
1521.725,0.0
1521.73,0.0
1521.735,0.0
1521.74,0.0
1521.745,0.0
1521.75,0.0
1521.755,0.0
1521.76,0.0
1521.765,0.0
1521.77,0.0
1521.775,0.0
