dt,uV
1515.99,-32.463
1515.995,-32.768
1516.0,-32.768
1516.005,-31.824001
1516.01,-32.423
1516.015,-32.768
1516.02,-32.66
1516.025,-24.463001
1516.0299,-12.38
1516.0349,-2.891
1516.0399,-0.22800002
1516.0449,-3.9010003
1516.0499,-11.222
1516.0549,-19.964
1516.0599,-28.138
1516.065,-32.768
1516.07,-32.768
1516.075,-32.768
1516.08,-31.850002
1516.085,-32.34
1516.09,-32.768
1516.095,-32.768
1516.1,-32.557003
1516.105,-32.36
1516.11,-32.768
1516.115,-32.768
1516.12,-32.768
1516.125,-32.546
1516.13,-32.648003
1516.135,-32.768
1516.14,-32.768
1516.145,-32.711002
1516.15,-32.642002
1516.1549,-32.768
1516.1599,-32.768
1516.1649,-32.768
1516.1699,-32.689003
1516.1749,-32.721
1516.1799,-32.768
1516.1849,-32.768
1516.19,-32.736
1516.195,-32.725002
1516.2,-32.764
1516.205,-32.768
1516.21,-32.765003
1516.215,-32.742
1516.22,-32.756
1516.225,-32.768
1516.23,-32.768
1516.235,-32.765003
1516.24,-32.765003
1516.245,-32.768
1516.25,-32.768
1516.255,-32.765003
1516.26,-32.760002
1516.265,-32.763
1516.27,-32.763
1516.275,-32.763
1516.2799,-32.763
1516.2849,-32.763
1516.2899,-32.762
1516.2949,-32.762
1516.2999,-32.763
1516.3049,-32.763
1516.3099,-32.762
1516.315,-32.761
1516.32,-32.763
1516.325,-32.764
1516.33,-32.763
1516.335,-32.760002
1516.34,-32.760002
1516.345,-32.765003
1516.35,-32.766003
1516.355,-32.760002
1516.36,-32.756
1516.365,-32.763
1516.37,-32.768
1516.375,-32.766003
1516.38,-32.753002
1516.385,-32.755
1516.39,-32.768
1516.395,-32.768
1516.4,-32.756
1516.4049,-32.743
1516.4099,-32.763
1516.4149,-32.768
1516.4199,-32.768
1516.4249,-32.736
1516.4299,-32.743
1516.4349,-32.768
1516.44,-32.768
1516.445,-32.743
1516.45,-32.734
1516.455,-32.768
1516.46,-32.662003
1516.465,-32.148003
1516.47,-31.401001
1516.475,-30.990002
1516.48,-31.328001
1516.485,-32.177002
1516.49,-32.768
1516.495,-32.768
1516.5,-32.765003
1516.505,-32.632
1516.51,-32.727
1516.515,-32.768
1516.52,-32.768
1516.525,-32.719
1516.5299,-32.714
1516.5349,-32.768
1516.5399,-32.768
1516.5449,-32.760002
1516.5499,-32.728
1516.5549,-32.754
1516.5599,-32.768
