dt,uV
2230.99,8.188001
2230.9949,8.148001
2231.0,8.112
2231.005,8.091001
2231.01,8.073
2231.015,8.047
2231.02,8.011001
2231.025,7.9800005
2231.03,7.9680004
2231.035,7.9720006
2231.04,7.9830003
2231.045,7.9960003
2231.05,8.015
2231.055,8.036
2231.06,8.057
2231.065,8.070001
2231.07,8.084001
2231.075,8.1
2231.0798,8.121
2231.085,8.134001
2231.0898,8.135
2231.095,8.128
2231.0999,8.128
2231.105,8.136001
2231.1099,8.147
2231.115,8.153001
2231.1199,8.151
2231.125,8.141001
2231.13,8.119
2231.135,8.089001
2231.14,8.057
2231.145,8.04
2231.15,8.035001
2231.155,8.035001
2231.16,8.022
2231.165,7.9990005
2231.17,7.971
2231.175,7.9500003
2231.18,7.9340005
2231.185,7.9230003
2231.19,7.9150004
2231.195,7.912
2231.2,7.9110003
2231.2048,7.906
2231.21,7.8970003
2231.2148,7.885
2231.22,7.8750005
2231.2249,7.8550005
2231.23,7.82
2231.2349,7.76
2231.24,7.688
2231.2449,7.6140003
2231.25,7.5550003
2231.255,7.5140004
2231.26,7.491
2231.265,7.4800005
2231.27,7.4820004
2231.275,7.4950004
2231.28,7.5080004
2231.285,7.511
2231.29,7.5000005
2231.295,7.4940004
2231.3,7.4950004
2231.305,7.498
2231.31,7.4810004
2231.315,7.4630003
2231.32,7.4620004
2231.325,7.4860005
2231.3298,7.4990005
2231.335,7.4900002
2231.3398,7.4790006
2231.345,7.4940004
2231.3499,7.5120006
2231.355,7.5220003
2231.3599,7.59
2231.365,7.833
2231.3699,8.214001
2231.375,8.463
2231.38,8.259001
2231.385,7.5730004
2231.39,6.7530003
2231.395,6.188
2231.4,6.024
2231.405,6.0160003
2231.41,5.933
2231.415,5.709
2231.42,5.565
2231.425,5.6460004
2231.43,5.9570003
2231.435,6.2630005
2231.44,6.3820004
2231.445,6.346
2231.45,6.274
2231.4548,6.294
2231.46,6.2850003
2231.4648,6.2380004
2231.47,6.1660004
2231.4749,6.1730003
2231.48,6.123
2231.4849,5.9620004
2231.49,5.815
2231.4949,5.906
2231.5,6.1210003
2231.505,6.0740004
2231.51,5.7120004
2231.515,5.425
2231.52,5.5290003
2231.525,5.6140003
2231.53,5.2400002
2231.535,4.598
2231.54,4.3510003
2231.545,4.451
2231.55,4.3300004
2231.555,3.9640002
2231.56,4.1800003
2231.565,4.873
2231.57,4.352
2231.575,1.5690001
2231.5798,-1.0200001
2231.585,0.98300004
2231.5898,8.718
2231.595,17.618
2231.5999,21.597
2231.605,19.329
2231.6099,14.869
2231.615,12.492001
2231.6199,12.346001
2231.625,12.01
2231.63,10.42
2231.635,8.871
2231.64,8.501
2231.645,8.71
2231.65,8.389
2231.655,7.6200004
2231.66,7.2700005
2231.665,7.583
2231.67,7.938
2231.675,7.9530005
2231.68,7.905
2231.685,8.186001
2231.69,8.636001
2231.695,8.908
2231.7,8.951
2231.7048,8.994
2231.71,9.158
2231.7148,9.301001
2231.72,9.341001
2231.7249,9.304001
2231.73,9.359
2231.7349,9.496
2231.74,9.6710005
2231.7449,9.817
2231.75,9.985001
2231.755,10.330001
2231.76,10.908001
2231.765,11.666
2231.77,12.377001
2231.775,13.005001
2231.78,13.597001
2231.785,14.31
2231.79,15.040001
2231.795,15.711
2231.8,16.301
2231.805,16.954
2231.81,17.672
2231.815,18.327002
2231.82,18.830002
2231.825,19.263
2231.8298,19.785002
2231.835,20.317001
2231.8398,20.769001
2231.845,21.057001
2231.8499,21.334002
2231.855,21.515001
2231.8599,21.465
2231.865,20.984001
2231.8699,20.255001
2231.875,19.483002
2231.88,18.79
2231.885,18.042002
2231.89,17.216002
2231.895,16.434
2231.9,15.812
2231.905,15.268001
2231.91,14.597001
2231.915,13.820001
2231.92,13.041
2231.925,12.387001
2231.93,11.681001
2231.935,10.836
2231.94,9.847
2231.945,8.9210005
2231.95,8.094001
2231.9548,7.314
2231.96,6.4700003
2231.9648,5.5950003
2231.97,4.747
2231.9749,3.9610002
2231.98,3.2280002
2231.9849,2.555
2231.99,1.983
2231.9949,1.485
2232.0,1.033
2232.005,0.58100003
