dt,uV
2242.99,-0.25300002
2242.9949,-0.25500003
2243.0,-0.25500003
2243.005,-0.256
2243.01,-0.25800002
2243.015,-0.261
2243.02,-0.264
2243.025,-0.264
2243.03,-0.26200002
2243.035,-0.26000002
2243.04,-0.257
2243.045,-0.256
2243.05,-0.257
2243.055,-0.261
2243.06,-0.26500002
2243.065,-0.26700002
2243.07,-0.264
2243.075,-0.259
2243.0798,-0.257
2243.085,-0.26000002
2243.0898,-0.26500002
2243.095,-0.268
2243.0999,-0.26700002
2243.105,-0.266
2243.1099,-0.27100003
2243.115,-0.28100002
2243.1199,-0.289
2243.125,-0.29000002
2243.13,-0.282
2243.135,-0.27600002
2243.14,-0.27600002
2243.145,-0.28100002
2243.15,-0.28500003
2243.155,-0.286
2243.16,-0.28500003
2243.165,-0.28500003
2243.17,-0.28500003
2243.175,-0.286
2243.18,-0.28800002
2243.185,-0.289
2243.19,-0.28800002
2243.195,-0.286
2243.2,-0.289
2243.2048,-0.296
2243.21,-0.30600002
2243.2148,-0.31300002
2243.22,-0.31500003
2243.2249,-0.314
2243.23,-0.312
2243.2349,-0.307
2243.24,-0.30200002
2243.2449,-0.29500002
2243.25,-0.284
2243.255,-0.27100003
2243.26,-0.263
2243.265,-0.26700002
2243.27,-0.27600002
2243.275,-0.282
2243.28,-0.28
2243.285,-0.28300002
2243.29,-0.29200003
2243.295,-0.29500002
2243.3,-0.28100002
2243.305,-0.268
2243.31,-0.27400002
2243.315,-0.28800002
2243.32,-0.28100002
2243.325,-0.25
2243.3298,-0.22100002
2243.335,-0.18300001
2243.3398,-0.081
2243.345,0.09900001
2243.3499,0.23700002
2243.355,0.156
2243.3599,-0.179
2243.365,-0.57600003
2243.3699,-0.78000003
2243.375,-0.711
2243.38,-0.51100004
2243.385,-0.35900003
2243.39,-0.30600002
2243.395,-0.289
2243.4,-0.257
2243.405,-0.22600001
2243.41,-0.224
2243.415,-0.23700002
2243.42,-0.23600002
2243.425,-0.22000001
2243.43,-0.21200001
2243.435,-0.21700001
2243.44,-0.22000001
2243.445,-0.21300001
2243.45,-0.202
2243.4548,-0.19800001
2243.46,-0.19900002
2243.4648,-0.19700001
2243.47,-0.19100001
2243.4749,-0.18800001
2243.48,-0.187
2243.4849,-0.18200001
2243.49,-0.172
2243.4949,-0.163
2243.5,-0.162
2243.505,-0.165
2243.51,-0.163
2243.515,-0.156
2243.52,-0.14500001
2243.525,-0.135
2243.53,-0.126
2243.535,-0.117000006
2243.54,-0.106000006
2243.545,-0.096
2243.55,-0.086
2243.555,-0.07700001
2243.56,-0.067
2243.565,-0.058000002
2243.57,-0.048
2243.575,-0.038000003
2243.5798,-0.029000001
2243.585,-0.021000002
2243.5898,-0.015000001
2243.595,-0.010000001
2243.5999,-0.0050000004
2243.605,-0.003
2243.6099,-0.003
2243.615,-0.006
2243.6199,-0.010000001
2243.625,-0.016
2243.63,-0.027
2243.635,-0.043
2243.64,-0.060000002
2243.645,-0.078
2243.65,-0.098000005
2243.655,-0.12100001
2243.66,-0.14500001
2243.665,-0.164
2243.67,-0.17600001
2243.675,-0.18400002
2243.68,-0.193
2243.685,-0.20300001
2243.69,-0.21300001
2243.695,-0.21900001
2243.7,-0.21900001
2243.7048,-0.215
2243.71,-0.209
2243.7148,-0.20700002
2243.72,-0.21000001
2243.7249,-0.215
2243.73,-0.21400002
2243.7349,-0.208
2243.74,-0.20300001
2243.7449,-0.20400001
2243.75,-0.21000001
2243.755,-0.21200001
2243.76,-0.20600002
2243.765,-0.19900002
2243.77,-0.19700001
2243.775,-0.202
2243.78,-0.20600002
2243.785,-0.20400001
2243.79,-0.19900002
2243.795,-0.19800001
2243.8,-0.202
2243.805,-0.209
2243.81,-0.21400002
2243.815,-0.21400002
2243.82,-0.21300001
2243.825,-0.21200001
2243.8298,-0.21300001
2243.835,-0.21400002
2243.8398,-0.21300001
2243.845,-0.21000001
2243.8499,-0.208
2243.855,-0.20600002
2243.8599,-0.208
2243.865,-0.21200001
