dt,uV
2782.99,18.722
2782.9949,18.858002
2783.0,18.969002
2783.005,18.983002
2783.01,18.927
2783.015,18.871
2783.02,18.845001
2783.025,18.831001
2783.03,18.811
2783.035,18.800001
2783.04,18.815
2783.045,18.845001
2783.05,18.858002
2783.055,18.842001
2783.06,18.813002
2783.065,18.796001
2783.0698,18.799002
2783.075,18.821001
2783.0798,18.861
2783.085,18.924002
2783.0898,18.996
2783.095,19.036001
2783.0999,19.011002
2783.105,18.92
2783.1099,18.800001
2783.115,18.691
2783.1199,18.607
2783.125,18.531
2783.13,18.448
2783.135,18.364
2783.14,18.295
2783.145,18.245
2783.15,18.203001
2783.155,18.159
2783.16,18.119001
2783.165,18.093
2783.17,18.078001
2783.175,18.058
2783.18,18.019001
2783.185,17.970001
2783.19,17.92
2783.1948,17.866001
2783.2,17.789001
2783.2048,17.687
2783.21,17.573
2783.2148,17.466002
2783.22,17.364
2783.2249,17.262001
2783.23,17.165
2783.2349,17.094
2783.24,17.053001
2783.2449,17.025002
2783.25,16.990002
2783.255,16.947
2783.26,16.908
2783.265,16.881
2783.27,16.858002
2783.275,16.83
2783.28,16.798
2783.285,16.765001
2783.29,16.731
2783.295,16.693
2783.3,16.655
2783.305,16.62
2783.31,16.583
2783.315,16.539001
2783.3198,16.487001
2783.325,16.436
2783.3298,16.395
2783.335,16.366001
2783.3398,16.343
2783.345,16.320002
2783.3499,16.293001
2783.355,16.264
2783.3599,16.236
2783.365,16.213001
2783.3699,16.196001
2783.375,16.182001
2783.38,16.165
2783.385,16.143002
2783.39,16.118
2783.395,16.092001
2783.4,16.057001
2783.405,15.995001
2783.41,15.899001
2783.415,15.794001
2783.42,15.739
2783.425,15.780001
2783.43,15.904
2783.435,16.033
2783.44,16.09
2783.4448,16.055
2783.45,15.973001
2783.4548,15.898001
2783.46,15.854001
2783.4648,15.826001
2783.47,15.804001
2783.4749,15.786001
2783.48,15.775001
2783.4849,15.764001
2783.49,15.750001
2783.4949,15.734001
2783.5,15.725
2783.505,15.720001
2783.51,15.708001
2783.515,15.687
2783.52,15.666
2783.525,15.656001
2783.53,15.657001
2783.535,15.658001
2783.54,15.649001
2783.545,15.633
2783.55,15.619
2783.555,15.609001
2783.56,15.602001
2783.565,15.596001
2783.5698,15.589001
2783.575,15.581
2783.5798,15.570001
2783.585,15.554001
2783.5898,15.544001
2783.595,15.547001
2783.5999,15.564001
2783.605,15.582001
2783.6099,15.585001
2783.615,15.577001
2783.6199,15.570001
2783.625,15.576001
2783.63,15.590001
2783.635,15.6
2783.64,15.6
2783.645,15.597001
2783.65,15.598001
2783.655,15.604001
2783.66,15.608001
2783.665,15.609001
2783.67,15.608001
2783.675,15.607
