dt,uV
1158.995,-3.7380002
1159.0,-3.7430003
1159.005,-3.7240002
1159.01,-3.647
1159.015,-3.5010002
1159.02,-3.3430002
1159.025,-3.292
1159.03,-3.4380002
1159.035,-3.7410002
1159.0399,-4.0340004
1159.0449,-4.157
1159.0499,-4.0820003
1159.0549,-3.9220002
1159.0599,-3.8040001
1159.065,-3.7660003
1159.07,-3.7640002
1159.075,-3.755
1159.08,-3.7400002
1159.085,-3.736
1159.09,-3.7430003
1159.095,-3.7440002
1159.1,-3.7350001
1159.105,-3.7230003
1159.11,-3.7150002
1159.115,-3.7100003
1159.12,-3.7040002
1159.125,-3.7000003
1159.13,-3.6980002
1159.135,-3.6990001
1159.14,-3.6980002
1159.145,-3.696
1159.15,-3.693
1159.155,-3.6880002
1159.16,-3.683
1159.1649,-3.6780002
1159.1699,-3.6750002
1159.1749,-3.673
1159.1799,-3.6660001
1159.1849,-3.6560001
1159.19,-3.6430001
1159.195,-3.6310003
1159.2,-3.617
1159.205,-3.6000001
1159.21,-3.5830002
1159.215,-3.5670002
1159.22,-3.555
1159.225,-3.545
1159.23,-3.5370002
1159.235,-3.532
1159.24,-3.5290003
1159.245,-3.528
1159.25,-3.5270002
1159.255,-3.5300002
1159.26,-3.5390003
1159.265,-3.5530002
1159.27,-3.5670002
1159.275,-3.578
1159.28,-3.5860002
1159.285,-3.5950003
1159.2899,-3.6060002
1159.2949,-3.6150002
1159.2999,-3.6200001
1159.3049,-3.6220002
1159.3099,-3.6250002
1159.315,-3.6280003
1159.32,-3.6250002
1159.325,-3.614
1159.33,-3.5990002
1159.335,-3.5870001
1159.34,-3.5740001
1159.345,-3.5520003
1159.35,-3.5160003
1159.355,-3.4780002
1159.36,-3.4510002
1159.365,-3.4380002
1159.37,-3.433
1159.375,-3.427
1159.38,-3.4190001
1159.385,-3.4110003
1159.39,-3.4060001
1159.395,-3.4
1159.4,-3.394
1159.405,-3.3910003
1159.41,-3.3910003
1159.4149,-3.3930001
1159.4199,-3.394
1159.4249,-3.3960001
1159.4299,-3.3980002
1159.4349,-3.4
1159.44,-3.4010003
1159.445,-3.4020002
1159.45,-3.4010003
1159.455,-3.4010003
1159.46,-3.4010003
1159.465,-3.404
1159.47,-3.407
1159.475,-3.4080002
1159.48,-3.4060001
1159.485,-3.4010003
1159.49,-3.394
1159.495,-3.3850002
1159.5,-3.3780003
1159.505,-3.377
1159.51,-3.3820002
1159.515,-3.3880002
1159.52,-3.3890002
1159.525,-3.3880002
1159.53,-3.3890002
1159.535,-3.3960001
1159.5399,-3.403
1159.5449,-3.4060001
1159.5499,-3.4060001
1159.5549,-3.407
1159.5599,-3.413
1159.565,-3.4180002
1159.57,-3.4190001
1159.575,-3.417
1159.58,-3.4150002
1159.585,-3.4150002
1159.59,-3.4190001
1159.595,-3.4240003
1159.6,-3.4290001
1159.605,-3.4340003
1159.61,-3.427
1159.615,-3.381
1159.62,-3.2660003
1159.625,-3.101
1159.63,-2.979
1159.635,-3.0210001
1159.64,-3.259
1159.645,-3.5800002
1159.65,-3.8000002
1159.655,-3.8130002
1159.66,-3.6770003
1159.6649,-3.528
1159.6699,-3.4540002
1159.6749,-3.4390001
1159.6799,-3.436
1159.6849,-3.4240003
1159.69,-3.4160001
1159.695,-3.4180002
1159.7,-3.4160001
1159.705,-3.404
1159.71,-3.394
1159.715,-3.397
1159.72,-3.404
1159.725,-3.404
1159.73,-3.3960001
1159.735,-3.39
1159.74,-3.39
1159.745,-3.39
1159.75,-3.384
1159.755,-3.3760002
1159.76,-3.371
1159.765,-3.3690002
1159.77,-3.3650002
1159.775,-3.3590002
1159.78,-3.3550003
1159.785,-3.351
1159.7899,-3.3450003
1159.7949,-3.3350003
1159.7999,-3.3230002
1159.8049,-3.3120003
1159.8099,-3.2990003
1159.815,-3.2810001
1159.82,-3.259
1159.825,-3.242
1159.83,-3.233
1159.835,-3.2270002
1159.84,-3.2200003
1159.845,-3.2120001
1159.85,-3.2070003
1159.855,-3.206
1159.86,-3.209
1159.865,-3.213
1159.87,-3.2200003
1159.875,-3.2300003
1159.88,-3.2450001
1159.885,-3.259
1159.89,-3.269
1159.895,-3.2770002
1159.9,-3.2840002
1159.905,-3.2930002
1159.91,-3.3000002
1159.9149,-3.3030002
1159.9199,-3.302
1159.9249,-3.301
1159.9299,-3.301
1159.9349,-3.3040001
1159.94,-3.3060002
1159.945,-3.3060002
1159.95,-3.305
1159.955,-3.3040001
1159.96,-3.302
1159.965,-3.298
1159.97,-3.295
1159.975,-3.2930002
1159.98,-3.295
1159.985,-3.2990003
1159.99,-3.3030002
1159.995,-3.302
1160.0,-3.298
1160.005,-3.2930002
1160.01,-3.292
1160.015,-3.2940001
1160.02,-3.2970002
1160.025,-3.298
1160.03,-3.2940001
1160.035,-3.2890003
1160.0399,-3.288
1160.0449,-3.292
1160.0499,-3.298
1160.0549,-3.302
1160.0599,-3.301
1160.065,-3.2990003
1160.07,-3.3000002
1160.075,-3.3060002
1160.08,-3.315
1160.085,-3.3230002
1160.09,-3.3240001
1160.095,-3.3190002
1160.1,-3.3120003
1160.105,-3.3060002
1160.11,-3.302
1160.115,-3.302
1160.12,-3.3040001
1160.125,-3.3100002
1160.13,-3.3190002
1160.135,-3.328
1160.14,-3.334
1160.145,-3.3370001
1160.15,-3.3400002
1160.155,-3.3450003
1160.16,-3.3530002
1160.1649,-3.364
1160.1699,-3.3720002
1160.1749,-3.3750002
1160.1799,-3.3730001
1160.1849,-3.3680003
1160.19,-3.3660002
1160.195,-3.3680003
1160.2,-3.3730001
1160.205,-3.374
1160.21,-3.371
1160.215,-3.3700001
1160.22,-3.3650002
1160.225,-3.3230002
1160.23,-3.209
1160.235,-3.0440001
1160.24,-2.936
1160.245,-3.005
1160.25,-3.2680001
1160.255,-3.588
1160.26,-3.7760003
1160.265,-3.7540002
1160.27,-3.604
1160.275,-3.4650002
1160.28,-3.4080002
1160.285,-3.404
1160.2899,-3.4020002
1160.2949,-3.3880002
1160.2999,-3.38
1160.3049,-3.3850002
1160.3099,-3.3890002
1160.315,-3.384
1160.32,-3.3790002
1160.325,-3.3820002
1160.33,-3.3860002
1160.335,-3.3830001
1160.34,-3.377
1160.345,-3.3780003
1160.35,-3.3860002
1160.355,-3.39
1160.36,-3.3850002
1160.365,-3.3750002
1160.37,-3.3720002
1160.375,-3.377
1160.38,-3.3820002
1160.385,-3.381
1160.39,-3.377
1160.395,-3.374
1160.4,-3.3730001
1160.405,-3.371
1160.41,-3.3630002
1160.4149,-3.3520002
1160.4199,-3.3390002
1160.4249,-3.328
1160.4299,-3.318
1160.4349,-3.3100002
1160.44,-3.3040001
1160.445,-3.301
1160.45,-3.3000002
1160.455,-3.2990003
1160.46,-3.3000002
1160.465,-3.302
1160.47,-3.3090003
1160.475,-3.3200002
1160.48,-3.3330002
1160.485,-3.3470001
1160.49,-3.3650002
1160.495,-3.3860002
1160.5,-3.4080002
1160.505,-3.426
1160.51,-3.44
1160.515,-3.4490001
1160.52,-3.4580002
1160.525,-3.469
1160.53,-3.4810002
1160.535,-3.4880002
1160.5399,-3.4910002
1160.5449,-3.4910002
1160.5499,-3.4930003
1160.5549,-3.4970002
1160.5599,-3.502
1160.565,-3.5040002
1160.57,-3.5040002
1160.575,-3.5060003
1160.58,-3.5110002
1160.585,-3.5180001
1160.59,-3.525
1160.595,-3.5290003
1160.6,-3.532
1160.605,-3.5340002
1160.61,-3.5360003
1160.615,-3.5390003
1160.62,-3.5440001
1160.625,-3.5490003
1160.63,-3.5540001
1160.635,-3.558
1160.64,-3.561
1160.645,-3.5660002
1160.65,-3.571
1160.655,-3.5740001
1160.66,-3.5740001
1160.6649,-3.5740001
1160.6699,-3.5770001
1160.6749,-3.584
1160.6799,-3.594
1160.6849,-3.5990002
1160.69,-3.5990002
1160.695,-3.5970001
1160.7,-3.5950003
1160.705,-3.594
1160.71,-3.594
1160.715,-3.5930002
1160.72,-3.5930002
1160.725,-3.5970001
1160.73,-3.604
1160.735,-3.6120002
1160.74,-3.6180003
1160.745,-3.6200001
1160.75,-3.6230001
1160.755,-3.63
1160.76,-3.6390002
1160.765,-3.6460001
1160.77,-3.6490002
1160.775,-3.6520002
1160.78,-3.6540003
1160.785,-3.6550002
1160.7899,-3.653
1160.7949,-3.6540003
1160.7999,-3.66
1160.8049,-3.6640003
1160.8099,-3.6620002
1160.815,-3.6560001
1160.82,-3.6460001
1160.825,-3.6020002
1160.83,-3.4880002
1160.835,-3.3220003
1160.84,-3.2170002
1160.845,-3.3040001
1160.85,-3.5950003
1160.855,-3.9320002
1160.86,-4.1140003
1160.865,-4.07
1160.87,-3.903
1160.875,-3.7660003
1160.88,-3.719
1160.885,-3.7170002
1160.89,-3.7070003
1160.895,-3.686
1160.9,-3.68
1160.905,-3.6880002
1160.91,-3.69
1160.9149,-3.6780002
1160.9199,-3.6690001
1160.9249,-3.673
1160.9299,-3.68
1160.9349,-3.676
1160.94,-3.6660001
1160.945,-3.663
1160.95,-3.667
1160.955,-3.6660001
1160.96,-3.6550002
1160.965,-3.6430001
1160.97,-3.6390002
1160.975,-3.6380002
1160.98,-3.6350002
1160.985,-3.627
1160.99,-3.6220002
1160.995,-3.6210003
1161.0,-3.617
1161.005,-3.6020002
1161.01,-3.5800002
1161.015,-3.561
1161.02,-3.5470002
1161.025,-3.5370002
1161.03,-3.528
1161.035,-3.522
1161.0399,-3.5160003
1161.0449,-3.5070002
1161.0499,-3.4930003
1161.0549,-3.4840002
1161.0599,-3.4850001
1161.065,-3.4940002
1161.07,-3.5010002
1161.075,-3.5040002
1161.08,-3.5100002
1161.085,-3.5260003
1161.09,-3.5460002
1161.095,-3.5600002
1161.1,-3.5690002
1161.105,-3.581
1161.11,-3.6030002
1161.115,-3.624
1161.12,-3.6290002
1161.125,-3.6200001
1161.13,-3.6120002
1161.135,-3.617
1161.14,-3.6280003
1161.145,-3.6290002
1161.15,-3.6200001
1161.155,-3.6130002
1161.16,-3.6200001
1161.1649,-3.6330001
1161.1699,-3.6310003
1161.1749,-3.6090002
1161.1799,-3.5920002
1161.1849,-3.6000001
1161.19,-3.6250002
1161.195,-3.634
1161.2,-3.614
1161.205,-3.5900002
1161.21,-3.591
1161.215,-3.6120002
1161.22,-3.6190002
1161.225,-3.6030002
1161.23,-3.5860002
1161.235,-3.5970001
1161.24,-3.6230001
1161.245,-3.627
1161.25,-3.6020002
1161.255,-3.5770001
1161.26,-3.578
1161.265,-3.5970001
1161.27,-3.604
1161.275,-3.594
1161.28,-3.588
1161.285,-3.5920002
1161.2899,-3.5920002
1161.2949,-3.5740001
1161.2999,-3.555
1161.3049,-3.5540001
1161.3099,-3.5720003
1161.315,-3.5830002
1161.32,-3.5760002
1161.325,-3.565
1161.33,-3.5670002
1161.335,-3.581
1161.34,-3.5920002
1161.345,-3.594
1161.35,-3.5960002
1161.355,-3.604
1161.36,-3.6120002
1161.365,-3.6160002
1161.37,-3.614
1161.375,-3.611
1161.38,-3.6130002
1161.385,-3.6190002
1161.39,-3.6250002
1161.395,-3.6280003
1161.4,-3.6290002
1161.405,-3.6220002
1161.41,-3.5730002
1161.4149,-3.453
1161.4199,-3.2910001
1161.4249,-3.1940002
1161.4299,-3.282
1161.4349,-3.5620003
1161.44,-3.887
1161.445,-4.065
1161.45,-4.0280004
1161.455,-3.8720002
1161.46,-3.7430003
1161.465,-3.6990001
1161.47,-3.7010002
1161.475,-3.6950002
1161.48,-3.6770003
1161.485,-3.673
1161.49,-3.683
1161.495,-3.6870003
1161.5,-3.676
1161.505,-3.663
1161.51,-3.66
1161.515,-3.6650002
1161.52,-3.6640003
1161.525,-3.6550002
1161.53,-3.6480002
1161.535,-3.6460001
1161.5399,-3.647
1161.5449,-3.647
1161.5499,-3.6430001
1161.5549,-3.6360002
1161.5599,-3.6260002
1161.565,-3.6160002
1161.57,-3.6100001
1161.575,-3.6050003
1161.58,-3.5990002
1161.585,-3.591
1161.59,-3.5800002
1161.595,-3.5660002
1161.6,-3.5500002
1161.605,-3.535
1161.61,-3.5230002
1161.615,-3.512
1161.62,-3.4970002
1161.625,-3.4800003
1161.63,-3.4710002
1161.635,-3.4740002
1161.64,-3.4800003
1161.645,-3.4780002
1161.65,-3.4680002
