dt,uV
1451.99,-8.693001
1451.995,-8.559
1452.0,-8.445001
1452.005,-8.555
1452.01,-8.934
1452.015,-9.445001
1452.02,-9.891001
1452.025,-10.150001
1452.0299,-10.238001
1452.0349,-10.234
1452.0399,-10.166
1452.0449,-10.009001
1452.0499,-9.7630005
1452.0549,-9.489
1452.0599,-9.231001
1452.065,-8.961
1452.07,-8.615001
1452.075,-8.195001
1452.08,-7.7710004
1452.085,-7.4030004
1452.09,-7.0950003
1452.095,-6.8250003
1452.1,-6.596
1452.105,-6.4490004
1452.11,-6.426
1452.115,-6.537
1452.12,-6.729
1452.125,-6.893
1452.13,-6.9200006
1452.135,-6.7710004
1452.14,-6.4810004
1452.145,-6.1080003
1452.15,-5.6910005
1452.1549,-5.2850003
1452.1599,-4.9890003
1452.1649,-4.872
1452.1699,-4.8760004
1452.1749,-4.835
1452.1799,-4.629
1452.1849,-4.28
1452.19,-3.8910003
1452.195,-3.515
1452.2,-3.1430001
1452.205,-2.802
1452.21,-2.5890002
1452.215,-2.5860002
1452.22,-2.752
1452.225,-2.9550002
1452.23,-3.0930002
1452.235,-3.1550002
1452.24,-3.187
1452.245,-3.2340002
1452.25,-3.3230002
1452.255,-3.4670002
1452.26,-3.6350002
1452.265,-3.7470002
1452.27,-3.7340002
1452.275,-3.6090002
1452.2799,-3.4550002
1452.2849,-3.3400002
1452.2899,-3.239
1452.2949,-3.0900002
1452.2999,-2.8720002
1452.3049,-2.634
1452.3099,-2.4410002
1452.315,-2.299
1452.32,-2.1720002
1452.325,-2.0270002
1452.33,-1.8730001
1452.335,-1.738
1452.34,-1.605
1452.345,-1.376
1452.35,-0.93900007
1452.355,-0.27600002
1452.36,0.47400004
1452.365,1.131
1452.37,1.6270001
1452.375,2.035
1452.38,2.4280002
1452.385,2.778
1452.39,3.0270002
1452.395,3.2200003
1452.4,3.4480002
1452.4049,3.6560001
1452.4099,3.5890002
1452.4149,3.0260003
1452.4199,2.049
1452.4249,0.99000007
1452.4299,0.115
1452.4349,-0.574
1452.44,-1.1960001
1452.445,-1.7500001
1452.45,-2.102
1452.455,-2.197
1452.46,-2.1690001
1452.465,-2.19
1452.47,-2.2700002
1452.475,-2.272
1452.48,-2.128
1452.485,-1.937
1452.49,-1.8340001
1452.495,-1.8040001
1452.5,-1.7310001
1452.505,-1.5890001
1452.51,-1.5130001
1452.515,-1.6350001
1452.52,-1.9340001
1452.525,-2.298
1452.5299,-2.709
1452.5349,-3.242
1452.5399,-3.88
1452.5449,-4.4350004
1452.5499,-4.7250004
1452.5549,-4.7840004
1452.5599,-4.8050003
1452.565,-4.9030004
1452.57,-5.0350003
1452.575,-5.164
1452.58,-5.3500004
1452.585,-5.636
1452.59,-5.9150004
1452.595,-6.05
1452.6,-6.0740004
1452.605,-6.1540003
1452.61,-6.3360004
1452.615,-6.471
1452.62,-6.4550004
1452.625,-6.4270005
1452.63,-6.609
1452.635,-6.997
1452.64,-7.3580003
1452.645,-7.544
